model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_4DLUT0.pt,7,34,34,5,1,0.043316,0.000884,0.13801628
dwconv-bn-relu_prior_2I5TON.pt,7,89,89,3,1,0.04361,0.00089,0.12940648
dwconv-bn-relu_prior_ZJOZDW.pt,14,18,18,7,2,0.0441,0.0009,0.22754264
dwconv-bn-relu_prior_AUIAXY.pt,7,92,92,3,1,0.04508,0.00092,0.13234601999999998
dwconv-bn-relu_prior_0VHHSF.pt,7,92,92,3,1,0.04508,0.00092,0.14966162
dwconv-bn-relu_prior_76REH2.pt,7,92,92,3,1,0.04508,0.00092,0.13820955999999998
dwconv-bn-relu_prior_JXGCJL.pt,7,93,93,3,1,0.04557,0.00093,0.13437152
dwconv-bn-relu_prior_LBBIN7.pt,7,93,93,3,1,0.04557,0.00093,0.09200071999999998
dwconv-bn-relu_prior_1QK5HT.pt,7,93,93,3,1,0.04557,0.00093,0.13014911999999998
dwconv-bn-relu_prior_SYR48E.pt,7,95,95,3,1,0.04655,0.00095,0.12726438
dwconv-bn-relu_prior_52G1T9.pt,14,25,25,3,1,0.049,0.00025,0.1289457
dwconv-bn-relu_prior_MT3V93.pt,7,100,100,3,1,0.049,0.001,0.13043243999999998
dwconv-bn-relu_prior_47IM59.pt,7,154,154,5,2,0.049049,0.004004,0.13437858
dwconv-bn-relu_prior_K1UDAK.pt,7,101,101,3,1,0.04949,0.00101,0.13370405999999999
dwconv-bn-relu_prior_5W4OSG.pt,14,39,39,5,2,0.049686,0.001014,0.12742116
dwconv-bn-relu_prior_5E70BR.pt,14,39,39,5,2,0.049686,0.001014,0.13768875999999997
dwconv-bn-relu_prior_ZEXURA.pt,7,39,39,5,1,0.049686,0.001014,0.12773398000000002
dwconv-bn-relu_prior_H400U3.pt,7,103,103,3,1,0.05047,0.00103,0.12024750000000001
dwconv-bn-relu_prior_SFHSE9.pt,7,40,40,5,1,0.05096,0.00104,0.14177231999999998
dwconv-bn-relu_prior_HYGMJ8.pt,7,40,40,5,1,0.05096,0.00104,0.1409126
dwconv-bn-relu_prior_KKN39N.pt,7,40,40,5,1,0.05096,0.00104,0.13585493999999998
dwconv-bn-relu_prior_BJQHKL.pt,7,105,105,3,1,0.05145,0.00105,0.13979534000000002
dwconv-bn-relu_prior_ZTA7KJ.pt,7,163,163,5,2,0.0519155,0.004238,0.16603434
dwconv-bn-relu_prior_WMJ8CZ.pt,7,163,163,5,2,0.0519155,0.004238,0.14167680000000002
dwconv-bn-relu_prior_ET96S3.pt,14,106,106,3,2,0.05194,0.00106,0.13616675999999997
dwconv-bn-relu_prior_GNS55S.pt,7,109,109,3,1,0.05341,0.00109,0.31733227999999997
dwconv-bn-relu_prior_OL6NFR.pt,7,109,109,3,1,0.05341,0.00109,0.13606938000000002
dwconv-bn-relu_prior_VGRGX3.pt,7,42,42,5,1,0.053508,0.001092,0.12568556
dwconv-bn-relu_prior_Y9V270.pt,7,42,42,5,1,0.053508,0.001092,0.13132216000000008
dwconv-bn-relu_prior_52DG2A.pt,7,43,43,5,1,0.054782,0.001118,0.12439413999999997
dwconv-bn-relu_prior_4CO7QW.pt,7,175,175,5,2,0.0557375,0.00455,0.12739098000000001
dwconv-bn-relu_prior_FQM5GM.pt,14,11,11,5,1,0.056056,0.000286,0.13624843999999994
dwconv-bn-relu_prior_9U6JBH.pt,7,176,176,5,2,0.056056,0.004576,0.13690896
dwconv-bn-relu_prior_ZS78JC.pt,7,118,118,3,1,0.05782,0.00118,0.28433418
dwconv-bn-relu_prior_1W6G2C.pt,14,46,46,5,2,0.058604,0.001196,0.12830076
dwconv-bn-relu_prior_T2OAX5.pt,7,24,24,7,1,0.0588,0.0012,0.12900411999999997
dwconv-bn-relu_prior_753YKF.pt,7,488,488,3,2,0.05978,0.00488,0.13046902000000002
dwconv-bn-relu_prior_JJ1N0Q.pt,7,123,123,3,1,0.06027,0.00123,0.13251024
dwconv-bn-relu_prior_YCA4NP.pt,14,124,124,3,2,0.06076,0.00124,0.13356817999999998
dwconv-bn-relu_prior_RTIPAB.pt,14,12,12,5,1,0.061152,0.000312,0.13076126000000005
dwconv-bn-relu_prior_IEF0G1.pt,14,32,32,3,1,0.06272,0.00032,0.15108849999999996
dwconv-bn-relu_prior_KB2OMJ.pt,14,32,32,3,1,0.06272,0.00032,0.12754262
dwconv-bn-relu_prior_VPP9MF.pt,14,32,32,3,1,0.06272,0.00032,0.16198516000000002
dwconv-bn-relu_prior_WKHOPV.pt,7,128,128,3,1,0.06272,0.00128,0.12830966
dwconv-bn-relu_prior_C529VD.pt,14,13,13,5,1,0.066248,0.000338,0.15241320000000008
dwconv-bn-relu_prior_KEDQU5.pt,7,52,52,5,1,0.066248,0.001352,0.12561342000000003
dwconv-bn-relu_prior_1UQ0AZ.pt,7,52,52,5,1,0.066248,0.001352,0.13535458000000006
dwconv-bn-relu_prior_7AI4OG.pt,7,53,53,5,1,0.067522,0.001378,0.17223898000000004
dwconv-bn-relu_prior_3AEJXP.pt,14,35,35,3,1,0.0686,0.00035,0.12157330000000002
dwconv-bn-relu_prior_CQS61K.pt,14,35,35,3,1,0.0686,0.00035,0.10145212000000002
dwconv-bn-relu_prior_33RFMZ.pt,14,140,140,3,2,0.0686,0.0014,0.13731285999999998
dwconv-bn-relu_prior_9T462J.pt,7,116,116,7,2,0.07105,0.0058,0.1298862
dwconv-bn-relu_prior_71Q8TG.pt,14,14,14,5,1,0.071344,0.000364,0.12857758000000002
dwconv-bn-relu_prior_RV1ILW.pt,14,14,14,5,1,0.071344,0.000364,0.16568842000000006
dwconv-bn-relu_prior_N7WSN4.pt,7,56,56,5,1,0.071344,0.001456,0.13129212000000004
dwconv-bn-relu_prior_QTZP1G.pt,14,30,30,7,2,0.0735,0.0015,0.3299318
dwconv-bn-relu_prior_XH88TQ.pt,7,120,120,7,2,0.0735,0.006,0.34946756000000007
dwconv-bn-relu_prior_NDGWN7.pt,14,39,39,3,1,0.07644,0.00039,0.10140182000000002
