model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
maxpool_prior_NHQ9Z1.pt,14,50,50,3,2,0.10688235999999998
maxpool_prior_ZWQT2E.pt,28,32,32,2,2,0.11198332000000004
maxpool_prior_SHEWKG.pt,28,193,193,3,2,0.8031947399999999
maxpool_prior_412DUS.pt,14,247,247,3,2,0.19757144000000001
maxpool_prior_M8WAI5.pt,112,250,250,3,2,2.21534708
maxpool_prior_XGRGLV.pt,112,245,245,2,2,1.60662316
maxpool_prior_JWJLIS.pt,28,67,67,3,2,0.21886975999999997
maxpool_prior_FFT2NK.pt,28,56,56,3,2,0.16312933999999998
maxpool_prior_PE2JNT.pt,14,190,190,2,2,0.17092676
maxpool_prior_GHAB8Z.pt,56,194,194,3,2,1.27616904
maxpool_prior_GU3XSW.pt,28,40,40,2,2,0.11744767999999998
maxpool_prior_LNMH6M.pt,28,847,847,3,2,1.6440105599999995
maxpool_prior_1VP0EG.pt,112,845,845,3,2,7.408114600000004
maxpool_prior_IKMMZG.pt,112,511,511,2,2,3.125095179999999
maxpool_prior_0EJTL8.pt,14,503,503,2,1,0.8132316200000002
maxpool_prior_NQ7OBU.pt,56,140,140,3,2,1.2077008599999999
maxpool_prior_DQ7E86.pt,56,58,58,3,1,1.4834728199999998
maxpool_prior_OXKDXX.pt,14,129,129,2,2,0.10500593999999999
maxpool_prior_XNKBOM.pt,224,54,54,2,2,1.5214151799999995
maxpool_prior_F9SC3J.pt,14,201,201,3,2,0.14611668
maxpool_prior_DN67QD.pt,14,507,507,2,2,0.3062377399999999
maxpool_prior_PW4X07.pt,14,152,152,2,2,0.10644695999999998
maxpool_prior_YIUJRI.pt,224,509,509,2,2,14.229523860000004
maxpool_prior_9SLOMR.pt,14,235,235,2,2,0.02693842
maxpool_prior_RNO4G8.pt,14,255,255,2,2,0.18474355999999997
maxpool_prior_BZAMC7.pt,224,500,500,3,2,19.45138184
maxpool_prior_7QABXD.pt,112,59,59,2,1,1.3418055800000004
maxpool_prior_4KDTRE.pt,14,240,240,2,2,0.12877954
maxpool_prior_0C1TMW.pt,14,504,504,2,1,1.1160652200000003
maxpool_prior_9L83TZ.pt,14,256,256,2,2,0.12709611999999998
maxpool_prior_W4P276.pt,56,57,57,2,1,1.09426014
maxpool_prior_WUBC33.pt,56,496,496,2,2,1.4317026799999995
maxpool_prior_D3B0HW.pt,56,493,493,2,2,1.4660395400000001
maxpool_prior_ATYQA9.pt,28,362,362,3,2,1.1866930999999998
maxpool_prior_BKGU16.pt,28,243,243,3,2,0.85735648
maxpool_prior_BD6KFQ.pt,56,833,833,2,2,1.59205666
maxpool_prior_D9IBJ7.pt,112,240,240,2,1,5.065702380000002
maxpool_prior_IOX6RO.pt,28,82,82,3,1,1.00407808
maxpool_prior_9LDJEF.pt,14,192,192,2,2,0.11310528
maxpool_prior_2Z13W6.pt,112,142,142,3,2,1.5322575399999996
maxpool_prior_KN1S2S.pt,112,494,494,3,2,4.40893074
maxpool_prior_YPN2UH.pt,14,150,150,3,2,0.12203114000000001
maxpool_prior_YQ0AR0.pt,14,41,41,2,2,0.10550359999999999
maxpool_prior_T7J72V.pt,28,70,70,3,2,0.27169831999999994
maxpool_prior_KXKEK2.pt,112,54,54,3,2,1.0261857800000003
maxpool_prior_FR5OKT.pt,14,532,532,3,2,0.33327424000000005
maxpool_prior_JC0ZDK.pt,56,253,253,3,2,1.62080004
maxpool_prior_9CGMP0.pt,112,510,510,2,1,13.227145659999996
maxpool_prior_7BL6NA.pt,14,87,87,3,1,0.19908805999999996
maxpool_prior_85MTZ8.pt,224,247,247,2,2,6.2561984
maxpool_prior_TQWZ08.pt,112,59,59,2,2,1.39356504
maxpool_prior_63EVDD.pt,112,240,240,3,2,2.990481799999998
maxpool_prior_ID2AVX.pt,224,497,497,3,2,19.930816180000004
maxpool_prior_EX0QC0.pt,56,66,66,3,2,0.7097530599999997
maxpool_prior_D43GX2.pt,56,55,55,2,2,0.4230442
maxpool_prior_VDQXEI.pt,112,49,49,2,1,1.4034180799999996
maxpool_prior_6A3FOR.pt,56,500,500,3,2,1.4448339
maxpool_prior_OXUFUM.pt,14,139,139,3,2,0.11780036
maxpool_prior_KGREA0.pt,112,33,33,2,2,0.7231087399999996
maxpool_prior_ZKA62S.pt,224,489,489,3,2,18.803546539999996
maxpool_prior_AFK0OL.pt,14,250,250,3,2,0.15393181999999997
maxpool_prior_GDLVNW.pt,112,844,844,2,2,5.191961900000001
maxpool_prior_13BO3Q.pt,14,238,238,2,2,0.21053238000000005
maxpool_prior_424E71.pt,112,370,370,3,2,3.4768241400000006
maxpool_prior_7NIJA9.pt,112,193,193,3,2,1.88032614
maxpool_prior_EK9767.pt,224,71,71,3,2,3.022138020000001
maxpool_prior_6CCI0I.pt,112,180,180,3,2,1.7559272799999999
maxpool_prior_8Q5RVI.pt,14,53,53,3,2,0.09695356000000001
maxpool_prior_FGC0ST.pt,112,232,232,3,2,2.17276836
maxpool_prior_CF2OVP.pt,28,69,69,3,1,0.96925742
maxpool_prior_VN45ZG.pt,56,505,505,2,2,1.4053375600000004
maxpool_prior_AMN45H.pt,14,197,197,3,2,0.13851490000000002
maxpool_prior_BPREGW.pt,56,504,504,3,2,2.2913493599999994
maxpool_prior_1KM2E7.pt,28,93,93,2,2,0.046011880000000005
maxpool_prior_CG36QI.pt,112,504,504,3,2,4.625978200000001
maxpool_prior_FYF6FZ.pt,14,491,491,3,2,0.42746932
maxpool_prior_TR6APV.pt,28,519,519,3,2,1.13887608
maxpool_prior_OME086.pt,56,71,71,3,2,0.8559735400000003
maxpool_prior_JAU79L.pt,112,70,70,3,2,0.9901533799999999
maxpool_prior_6X609J.pt,14,494,494,2,2,0.25089545999999996
maxpool_prior_NHCIER.pt,28,63,63,2,2,0.12853073999999998
maxpool_prior_UPPTZ0.pt,14,54,54,3,1,0.173437
maxpool_prior_DJ3HK7.pt,112,143,143,3,2,1.9277499999999994
maxpool_prior_S9ECSC.pt,112,503,503,2,2,3.3379378799999997
maxpool_prior_Y6HNGO.pt,14,60,60,2,2,0.09504349999999998
maxpool_prior_FNIO3T.pt,28,135,135,2,2,0.2827227
maxpool_prior_2XLR8U.pt,28,231,231,3,2,0.5192808000000001
maxpool_prior_NH0OVU.pt,56,523,523,2,2,3.1284623799999998
maxpool_prior_6HRXR6.pt,56,144,144,2,2,1.2397482399999997
maxpool_prior_HM3WCZ.pt,28,237,237,2,1,1.3389928599999996
maxpool_prior_D45WAH.pt,14,244,244,3,1,0.5571795600000001
maxpool_prior_IKCU9B.pt,28,235,235,2,2,0.41269609999999995
maxpool_prior_OHUDV7.pt,112,74,74,3,2,1.0235223200000005
maxpool_prior_EQ4XXC.pt,14,64,64,3,2,0.10189542000000003
maxpool_prior_B8722C.pt,14,235,235,3,2,0.15597219999999998
maxpool_prior_GK4KAY.pt,56,73,73,2,1,1.1055929000000002
maxpool_prior_U5FB1F.pt,112,60,60,3,1,2.0862274199999993
maxpool_prior_1Q5QAE.pt,56,476,476,3,2,1.57275904
maxpool_prior_O2KDZS.pt,224,476,476,3,2,18.491647339999997
maxpool_prior_VT5ARN.pt,112,89,89,3,2,1.1140527
maxpool_prior_1YAOUS.pt,14,137,137,3,2,0.14535628000000003
maxpool_prior_E2WXCS.pt,112,489,489,2,2,2.9975221399999996
maxpool_prior_EI4EKJ.pt,56,65,65,3,2,0.7935253800000003
maxpool_prior_9QOJ1W.pt,14,128,128,3,2,0.11181047999999999
maxpool_prior_TBF4VV.pt,14,52,52,3,2,0.10387302000000002
maxpool_prior_3UI0YO.pt,112,152,152,3,2,1.4809014800000002
maxpool_prior_GQGZ9C.pt,56,491,491,2,2,1.5948875600000003
