model_path,HW,CIN1,CIN2,CIN3,CIN4,latency
concat_prior_COYJ22.pt,7,214,155,1001,432,0.1446151
concat_prior_2WULHP.pt,14,700,293,36,63,0.18377974000000002
concat_prior_LBRLOB.pt,7,978,32,0,0,0.10782329999999997
concat_prior_XGG1S7.pt,28,535,31,0,0,0.21636107999999993
concat_prior_RQ0866.pt,14,82,189,425,33,0.16363052
concat_prior_5LE2A5.pt,7,955,42,0,0,0.01853588
concat_prior_GCKV5G.pt,7,285,146,0,0,0.0074420799999999985
concat_prior_EY1DCX.pt,14,1766,135,160,113,0.21378066
concat_prior_ZSTQ25.pt,7,256,170,23,445,0.012686799999999998
concat_prior_X01LBP.pt,56,129,141,538,124,0.6140070799999999
concat_prior_8W98EO.pt,56,212,494,528,42,0.59779804
concat_prior_BQS24J.pt,14,683,236,168,0,0.18757349999999995
concat_prior_JWXF55.pt,28,529,76,921,263,0.5417654600000001
concat_prior_VRTELE.pt,14,199,161,0,0,0.16626877999999998
concat_prior_DYHQQK.pt,7,265,217,266,0,0.011282580000000002
concat_prior_IOD1BO.pt,7,816,7,0,0,0.09923776000000002
concat_prior_6SG0OA.pt,14,125,205,54,0,0.12302586000000003
concat_prior_6IWBS4.pt,14,493,188,0,0,0.18579162000000005
concat_prior_6AK9T0.pt,14,84,65,504,514,0.1560625
concat_prior_ON0OQA.pt,14,9,512,490,515,0.16435441999999995
concat_prior_LFWI0M.pt,7,233,196,0,0,0.00630296
concat_prior_KRYSLU.pt,28,100,223,0,0,0.23621326000000004
concat_prior_1XMQQ1.pt,56,242,431,0,0,0.4977626999999999
concat_prior_ZVD44U.pt,28,755,114,29,537,0.30787896
concat_prior_GHCE1X.pt,14,169,166,44,848,0.21234332000000003
concat_prior_0DUIAI.pt,7,1286,80,0,0,0.11480378
concat_prior_GSQMN6.pt,28,87,52,795,0,0.28609320000000005
concat_prior_G45XAE.pt,28,34,26,2144,810,0.14975780000000002
concat_prior_RTXMGE.pt,7,81,78,253,120,0.00502006
concat_prior_08GLTX.pt,14,91,31,0,0,0.01438381999999999
concat_prior_BMI33E.pt,56,191,984,138,526,1.3554536599999993
concat_prior_WPKMHB.pt,14,38,489,492,252,0.15275739999999996
concat_prior_9K6F6T.pt,14,88,272,18,96,0.13289668000000002
concat_prior_SSFRVD.pt,56,52,166,1025,99,0.9878738199999998
concat_prior_16D538.pt,14,116,173,0,0,0.0945184
concat_prior_D1ZH9U.pt,14,521,12,0,0,0.119358
concat_prior_GX1AS9.pt,14,539,149,802,0,0.2592608599999999
concat_prior_P8WA8Y.pt,7,361,528,21,14,0.014182739999999996
concat_prior_AMOKM4.pt,14,22,155,209,65,0.15596291999999998
concat_prior_A49VZ6.pt,28,169,203,0,0,0.20727722000000007
concat_prior_WFJ6SQ.pt,14,267,186,0,0,0.15265615999999999
concat_prior_V4QJSG.pt,28,2015,131,0,0,0.4968605400000001
concat_prior_ZPT750.pt,7,499,266,427,0,0.014845819999999996
concat_prior_SKP7PM.pt,7,183,996,0,0,0.11243823999999998
concat_prior_0YL9DS.pt,56,209,671,0,0,0.61483052
concat_prior_SX3KQO.pt,14,142,107,0,0,0.00913834
concat_prior_CDSHG1.pt,14,74,492,0,0,0.11461093999999995
concat_prior_6EDGS8.pt,7,806,40,0,0,0.10963106
concat_prior_FTEDDG.pt,14,138,973,1007,99,0.15434572000000002
concat_prior_BYHD98.pt,14,144,212,0,0,0.11908094000000002
concat_prior_DZYOW8.pt,14,146,99,1243,175,0.17360865999999997
concat_prior_WCINB0.pt,7,1034,987,553,116,0.21259683999999995
concat_prior_MKHWGX.pt,7,214,1187,0,0,0.10961238
concat_prior_C6F306.pt,14,226,180,0,0,0.15034545999999996
concat_prior_P8APT2.pt,14,502,108,12,369,0.1939476600000001
concat_prior_ANW4UC.pt,7,207,847,50,467,0.14070924
concat_prior_AZRZB6.pt,14,212,1001,196,651,0.19770178000000002
concat_prior_6SL7S5.pt,56,161,222,0,0,0.4022413199999999
concat_prior_JZKWA1.pt,7,169,625,182,0,0.011653900000000002
concat_prior_UDD9FI.pt,28,1432,215,1180,92,0.36397467999999994
concat_prior_I3GEO0.pt,56,148,107,0,0,0.35777488000000013
concat_prior_OD7PQP.pt,7,130,23,8,28,0.0033719600000000007
concat_prior_W369MN.pt,56,766,768,0,0,1.0276963200000002
concat_prior_NPFLJ6.pt,14,109,761,683,694,0.16857818
concat_prior_2GZTC5.pt,56,255,65,0,0,0.26080475999999997
concat_prior_C3ZNSC.pt,14,47,8,59,111,0.01501624
concat_prior_3IIJEP.pt,14,2015,1287,0,0,0.20095218000000006
concat_prior_2S3HX1.pt,14,194,12,0,0,0.08871861999999998
concat_prior_MDU9SA.pt,14,833,25,426,49,0.19006745999999997
concat_prior_XIA180.pt,14,74,509,521,51,0.15965339999999997
concat_prior_OFR5MO.pt,7,906,58,162,0,0.1124696
concat_prior_K7SD9B.pt,28,111,256,237,254,0.19152706000000008
concat_prior_D7RT1L.pt,56,4,986,114,0,0.7514967399999998
concat_prior_11P8HD.pt,56,197,169,0,0,0.36782323999999994
concat_prior_9XQZYN.pt,14,143,70,0,0,0.01005528
concat_prior_D83RCM.pt,28,992,45,0,0,0.27946224000000014
concat_prior_99LKGH.pt,7,114,89,0,0,0.01102276
concat_prior_HUAPH2.pt,14,2037,801,99,511,0.08645374
concat_prior_O9AVSM.pt,14,173,804,541,0,0.19563998000000002
concat_prior_PMBA05.pt,7,26,1710,201,0,0.10882184
concat_prior_H0I0YT.pt,7,514,522,782,207,0.19816748
concat_prior_3O8JTE.pt,14,210,337,185,21,0.20002510000000004
concat_prior_EZ3BXC.pt,14,513,491,72,7,0.18241668
concat_prior_0PCTPQ.pt,28,130,20,241,249,0.33383055999999994
concat_prior_NI3IYO.pt,14,93,133,535,0,0.1596911
concat_prior_KW75DU.pt,28,573,135,41,216,0.25198753999999995
concat_prior_WOYJ3V.pt,14,120,69,0,0,0.006395579999999999
concat_prior_3D21DG.pt,28,162,1269,134,36,0.51048742
concat_prior_EEJCKM.pt,14,540,18,0,0,0.13627798000000002
concat_prior_Y1EGXY.pt,56,431,29,811,93,1.1771676000000002
concat_prior_AN57XP.pt,14,150,185,0,0,0.10460311999999998
concat_prior_ZBHWVH.pt,28,195,124,246,0,0.30973064000000006
concat_prior_LP7VDY.pt,28,11,16,59,508,0.28560722000000005
concat_prior_QPYIQA.pt,14,958,226,0,0,0.20114434
concat_prior_6ZYJIR.pt,14,234,80,485,0,0.20473690000000005
concat_prior_PGBIHT.pt,28,253,75,0,0,0.2030608
concat_prior_JFEODD.pt,7,533,223,0,0,0.00891048
concat_prior_UBMAAH.pt,14,161,256,0,0,0.12320977999999996
concat_prior_1FME7R.pt,28,36,434,0,0,0.1612189
concat_prior_VR0PTF.pt,7,54,536,0,0,0.011475100000000002
concat_prior_1ZW1TO.pt,7,520,178,0,0,0.007678800000000001
concat_prior_BMQ9OV.pt,14,84,789,52,1332,0.2016834
concat_prior_QM3H1Z.pt,7,121,479,162,100,0.015603439999999998
concat_prior_BVR3OU.pt,7,171,29,119,0,0.004511300000000001
concat_prior_H4UZPL.pt,56,1268,973,2009,330,7.433920439999998
concat_prior_UE34RV.pt,7,107,536,0,0,0.01374506
concat_prior_NLXQ0E.pt,7,804,15,0,0,0.10722622000000001
concat_prior_HBVT4Y.pt,7,30,241,194,0,0.012862019999999998
concat_prior_40IPJ0.pt,7,150,8,105,22,0.003671560000000001
concat_prior_VPGXKJ.pt,7,510,2019,239,0,0.15220891999999997
concat_prior_BG6D3C.pt,28,272,96,56,0,0.1972467599999999
concat_prior_DHRGOF.pt,14,174,702,0,0,0.21268898
concat_prior_GEM1Z5.pt,14,483,197,86,0,0.2011743
concat_prior_N6YRG7.pt,14,982,133,0,0,0.17108415999999999
