model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
avgpool_prior_K6VHQM.pt,112,243,243,2,1,2.2894816999999996
avgpool_prior_RU53CI.pt,28,201,201,3,2,0.3860594599999999
avgpool_prior_V8K2T1.pt,112,494,494,3,2,1.8052463799999998
avgpool_prior_K5EDV8.pt,28,71,71,3,1,0.29791268000000004
avgpool_prior_EQVWH9.pt,14,194,194,3,2,0.11284210000000001
avgpool_prior_JOZE4X.pt,112,97,97,2,2,0.97801582
avgpool_prior_J4IRKT.pt,112,502,502,3,2,1.8102639600000006
avgpool_prior_5J3SBS.pt,14,50,50,2,1,0.11977049999999999
avgpool_prior_GKYS9K.pt,28,136,136,2,2,0.22118260000000003
avgpool_prior_MMHJW8.pt,112,848,848,2,2,2.2550745200000004
avgpool_prior_EN54QN.pt,56,64,64,2,2,0.24444012000000007
avgpool_prior_R0NIFG.pt,28,1041,1041,3,2,1.00429908
avgpool_prior_1QM2L1.pt,112,505,505,3,2,1.7732931599999997
avgpool_prior_SP3F7R.pt,112,472,472,2,2,1.2896434200000002
avgpool_prior_WPEJ9N.pt,56,191,191,3,2,0.95247644
avgpool_prior_18IYD3.pt,112,89,89,2,2,0.42351760000000005
avgpool_prior_B6Q6E3.pt,112,493,493,2,2,1.5617640599999996
avgpool_prior_8WOU7R.pt,112,234,234,3,2,1.5144520199999996
avgpool_prior_VXC7XD.pt,14,509,509,2,2,0.16062974
avgpool_prior_LX1TE2.pt,224,73,73,2,2,1.4927889200000002
avgpool_prior_WNZBUY.pt,14,188,188,2,2,0.1519906
avgpool_prior_S4LNPC.pt,112,52,52,2,2,0.6312191799999999
avgpool_prior_5ADRL1.pt,14,494,494,3,2,0.20527878000000002
avgpool_prior_BL1J73.pt,112,366,366,2,2,1.4758488600000004
avgpool_prior_HT3WCC.pt,14,845,845,2,2,0.23506366
avgpool_prior_GUFE0D.pt,112,58,58,3,1,1.54140612
avgpool_prior_4AZQ9J.pt,28,191,191,2,2,0.2841194
avgpool_prior_8HO6TJ.pt,28,235,235,3,2,0.2679322
avgpool_prior_SF5OV0.pt,14,498,498,2,1,0.5073303200000001
avgpool_prior_C6G7A8.pt,14,72,72,2,2,0.08944505999999999
avgpool_prior_8ELZNG.pt,56,135,135,3,2,0.47205026000000005
avgpool_prior_ESKTWH.pt,56,232,232,3,1,1.84090728
avgpool_prior_TV244N.pt,14,480,480,2,1,0.48804856
avgpool_prior_6B9RKL.pt,28,134,134,2,2,0.17187458
avgpool_prior_E8Y15B.pt,112,255,255,3,2,1.4962454000000003
avgpool_prior_8HOW04.pt,112,188,188,3,2,1.5082249799999994
avgpool_prior_SSFYNA.pt,28,52,52,3,1,0.24557439999999991
avgpool_prior_AX4H9X.pt,14,490,490,3,2,0.18441148000000002
avgpool_prior_WXNGIC.pt,112,204,204,3,2,1.3834622199999997
avgpool_prior_9PY7LN.pt,28,500,500,3,2,0.4782222999999999
avgpool_prior_TZQ47W.pt,14,43,43,2,2,0.08193953999999999
avgpool_prior_5I9GBV.pt,112,74,74,2,2,0.8580435000000003
avgpool_prior_VT9ZFP.pt,112,848,848,3,2,2.70603738
avgpool_prior_VJKN7V.pt,224,368,368,2,2,3.896690379999999
avgpool_prior_KZR67B.pt,224,491,491,3,1,22.56529257999999
avgpool_prior_ABW5T5.pt,28,245,245,3,2,0.2628147
avgpool_prior_OY4QKG.pt,56,55,55,2,1,0.7014890000000001
avgpool_prior_ZSIH9S.pt,112,62,62,2,2,0.8046250399999999
avgpool_prior_QEBJLT.pt,14,75,75,2,2,0.08840572
avgpool_prior_FESSSP.pt,28,491,491,3,2,0.4479922
avgpool_prior_MQLYAT.pt,112,65,65,3,2,0.8776075000000002
avgpool_prior_Y42TUS.pt,112,234,234,2,2,1.25797558
avgpool_prior_1U1FS7.pt,112,253,253,2,2,1.4105682199999996
avgpool_prior_WDEQM9.pt,28,245,245,3,2,0.26045470000000004
avgpool_prior_1S4A3B.pt,112,494,494,3,2,2.2060266399999993
avgpool_prior_TRJUH0.pt,112,509,509,2,2,1.9429348400000004
avgpool_prior_VHU0CE.pt,112,506,506,2,1,4.770624
avgpool_prior_CDPQ73.pt,112,845,845,2,2,2.4669799800000005
avgpool_prior_R0M2Q7.pt,28,69,69,3,2,0.12559521999999998
avgpool_prior_FJU5EP.pt,14,504,504,3,1,0.46288223999999983
avgpool_prior_RXF6DB.pt,14,59,59,3,2,0.09573317999999995
avgpool_prior_YT91OG.pt,14,256,256,3,2,0.1235566
avgpool_prior_GI604D.pt,112,524,524,3,2,1.9853447600000005
avgpool_prior_FECH5D.pt,28,61,61,2,2,0.14589234000000004
avgpool_prior_MQLN1O.pt,14,59,59,2,2,0.08479426
avgpool_prior_0U7X47.pt,28,245,245,3,2,0.09464866
avgpool_prior_QIEOQY.pt,56,231,231,2,2,0.9535116000000002
avgpool_prior_68GUV2.pt,28,68,68,2,2,0.13008638000000003
avgpool_prior_XKZ7RU.pt,56,129,129,3,1,1.2468590800000001
avgpool_prior_RS0D6X.pt,28,63,63,3,2,0.15254126000000004
