model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_YVXG7G.pt,3,240,86,1,1,0.186534,0.020726,0.036966900000000004
conv-bn-relu_prior_BX0KQK.pt,28,23,10,1,1,0.18816,0.00024,0.09599891999999999
conv-bn-relu_prior_SH2A13.pt,7,88,5,3,1,0.194285,0.003965,0.11573858
conv-bn-relu_prior_9C0R5T.pt,3,134,161,1,1,0.195615,0.021735,0.10094476000000002
conv-bn-relu_prior_3X185Q.pt,7,92,43,1,1,0.195951,0.003999,0.08461553999999999
conv-bn-relu_prior_W8L5WD.pt,13,86,54,1,2,0.1984905,0.004698,0.22733674
conv-bn-relu_prior_ITM1EG.pt,14,5,171,1,1,0.201096,0.001026,0.11985281999999998
conv-bn-relu_prior_NA0JPQ.pt,14,5,176,1,1,0.206976,0.001056,0.12334047999999999
conv-bn-relu_prior_MYV7PA.pt,8,74,44,1,1,0.2112,0.0033,0.08088773999999999
conv-bn-relu_prior_DKKPV2.pt,8,45,72,1,1,0.211968,0.003312,0.12205310000000003
conv-bn-relu_prior_P39ZUX.pt,1,206,115,3,1,0.213325,0.213325,0.10779594000000005
conv-bn-relu_prior_J4MQ2U.pt,14,51,21,1,1,0.214032,0.001092,0.21853136000000004
conv-bn-relu_prior_30L5L3.pt,14,64,17,1,1,0.21658,0.001105,0.09027374
conv-bn-relu_prior_TD5BXQ.pt,8,135,25,1,1,0.2176,0.0034,0.10374741999999998
conv-bn-relu_prior_7WH2JI.pt,13,41,31,1,1,0.220038,0.001302,0.08449306000000002
conv-bn-relu_prior_SCH1BF.pt,28,187,6,1,2,0.221088,0.001128,0.20430229999999994
conv-bn-relu_prior_9J41UX.pt,8,224,62,1,2,0.2232,0.01395,0.12385644000000001
conv-bn-relu_prior_UM1E3K.pt,27,6,44,1,1,0.224532,0.000308,0.12866442
conv-bn-relu_prior_HQ91P4.pt,14,6,169,1,1,0.231868,0.001183,0.1358309
conv-bn-relu_prior_1EAU4I.pt,1,204,1157,1,1,0.237185,0.237185,0.12004142
conv-bn-relu_prior_XDPM6E.pt,14,9,126,1,1,0.24696,0.00126,0.13863949999999997
conv-bn-relu_prior_3INTJM.pt,7,467,11,1,1,0.252252,0.005148,0.2659506599999999
conv-bn-relu_prior_NLTQOA.pt,14,13,92,1,1,0.252448,0.001288,0.11195984000000003
conv-bn-relu_prior_2TQBQ0.pt,7,174,120,1,2,0.25725,0.021,0.11558988
conv-bn-relu_prior_XW3QHN.pt,7,6,98,3,1,0.26411,0.00539,0.12182813999999999
conv-bn-relu_prior_PEUPXG.pt,8,44,94,1,1,0.27072,0.00423,0.10066994
conv-bn-relu_prior_66VZVI.pt,8,88,49,1,1,0.279104,0.004361,0.09851846
conv-bn-relu_prior_VF3PTI.pt,3,1035,123,1,2,0.286713,0.127428,0.1224924
conv-bn-relu_prior_2DEPMR.pt,8,87,51,1,1,0.287232,0.004488,0.19118973999999997
conv-bn-relu_prior_IKGFBE.pt,13,436,4,1,1,0.295412,0.001748,0.14389143999999998
conv-bn-relu_prior_PW125X.pt,13,41,19,3,2,0.2970175,0.00703,0.31402971999999996
conv-bn-relu_prior_L89UJ0.pt,14,1021,6,1,2,0.300468,0.006132,0.1543757800000001
conv-bn-relu_prior_RHN6SB.pt,8,74,63,1,1,0.3024,0.004725,0.09359689999999997
conv-bn-relu_prior_B3WQSX.pt,14,45,137,1,2,0.308798,0.006302,0.25120130000000007
conv-bn-relu_prior_LZCC5J.pt,13,203,9,1,1,0.310284,0.001836,0.14388016000000006
conv-bn-relu_prior_FAT1NE.pt,8,55,87,1,1,0.311808,0.004872,0.09938677999999998
conv-bn-relu_prior_MSTA41.pt,14,46,34,1,1,0.313208,0.001598,0.09858212000000002
conv-bn-relu_prior_JJVJQQ.pt,8,245,82,1,2,0.322752,0.020172,0.05934023999999999
conv-bn-relu_prior_VUJS51.pt,14,80,82,1,2,0.325458,0.006642,0.11525448000000002
conv-bn-relu_prior_68DOVI.pt,14,36,181,1,2,0.328153,0.006697,0.1221525
conv-bn-relu_prior_A9XF4Q.pt,1,1965,167,1,1,0.328322,0.328322,0.07429361999999999
conv-bn-relu_prior_Y6TA71.pt,28,41,10,1,1,0.32928,0.00042,0.14410140000000002
conv-bn-relu_prior_IYWB7T.pt,14,141,12,1,1,0.333984,0.001704,0.15158174
conv-bn-relu_prior_LODV2P.pt,14,144,12,1,1,0.34104,0.00174,0.15019870000000002
conv-bn-relu_prior_GJX43M.pt,8,242,22,1,1,0.342144,0.005346,0.15678894000000002
conv-bn-relu_prior_1C514Q.pt,13,16,14,3,1,0.34307,0.00203,0.11898402
conv-bn-relu_prior_1LH55K.pt,28,295,6,1,2,0.348096,0.001776,0.17316694
conv-bn-relu_prior_YOLM9O.pt,8,46,118,1,1,0.354944,0.005546,0.10639004000000002
