feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
14,88,68,1,1,1.186192,0.006052,0.10543253999999998,0.12965275545945926,0.22972239366953773
14,51,96,7,1,47.04,0.24,1.2059425400000001,0.8701260797297332,0.27846804398347774
28,149,208,1,1,24.4608,0.0312,0.24488475999999995,0.39265613481081,0.6034323034671905
56,151,483,1,1,230.232576,0.073416,1.27838044,1.2232980700540539,0.04308761947730221
28,52,407,1,1,16.911664,0.021571,0.4329832199999999,0.365925387783784,0.15487397459932958
13,520,714,3,1,564.837546,3.342234,1.8567864600000001,2.011939030918923,0.08355972765921761
27,188,181,1,1,24.938361,0.034209,0.29639184,0.3195629388108102,0.07817724945062657
112,104,7,7,1,447.557376,0.035679,2.4043498399999996,2.2260650453513597,0.07415093747282629
56,461,50,1,1,72.4416,0.0231,1.05948904,1.1841412551891894,0.11765314267827567
14,258,13,7,1,32.214364,0.164359,0.41979849999999996,0.7742618480540546,0.8443654468847666
27,229,103,3,1,154.829394,0.212386,0.9043826199999998,1.0172036718378397,0.12474924809793435
7,89,124,1,1,0.54684,0.01116,0.10393437999999998,0.10697385832432445,0.029244205087137373
27,45,29,5,1,23.804766,0.032654,0.28865064000000007,0.5418076311351354,0.8770359599242021
56,2035,241,1,2,384.689984,0.490676,7.319664900000001,3.006594263243248,0.5892442749335086
224,450,161,3,1,32725.339136,0.652211,100.52990773999996,93.59567831637858,0.06897678093523513
13,67,91,3,1,9.288916,0.054964,0.20050354000000006,0.20809957281081057,0.03788478153957033
28,1912,1008,3,2,3399.947712,17.346672,15.55387408,17.71566704881077,0.13898742896411365
27,74,256,1,1,13.9968,0.0192,0.39675234,0.2811050901621622,0.2914847328634226
13,251,486,1,1,20.697768,0.122472,0.27709049999999996,0.3560023988648648,0.2847874570397211
28,116,169,3,1,138.45832,0.176605,0.95133736,1.070056568378379,0.12479191228060138
28,100,67,1,1,5.305328,0.006767,0.23320684,0.19807927994594585,0.15062834372291203
8,55,121,1,1,0.433664,0.006776,0.10161324000000001,0.12252131372972982,0.20576131348365445
13,14,437,5,1,25.922403,0.153387,0.28232764,0.6047964849189192,1.1421795078899086
28,940,112,3,1,742.943488,0.947632,2.24379442,2.3043321264324303,0.02698005926604916
27,115,933,3,1,704.642652,0.966588,1.9931167799999998,2.1760755640540603,0.09179531570350861
27,102,128,3,2,21.438432,0.117632,0.2671069600000001,0.35386736227027016,0.32481520612667675
224,232,110,1,1,1286.01088,0.02563,12.084875519999999,18.60684944264863,0.5396806869756349
13,225,89,1,2,0.8498165,0.020114,0.15796482,0.15602691421621656,0.012267958041438876
8,160,19,7,1,9.534656,0.148979,0.22170736000000002,0.2609292156216215,0.17690822542662318
27,197,6,5,1,21.546324,0.029556,0.9762958999999999,0.6945319723783797,0.28860505060158526
27,535,172,3,2,150.967152,0.828352,1.0639295800000004,1.0781547781081056,0.0133704320055705
14,133,2010,3,1,471.96408,2.40798,1.5416647399999996,2.2436514164864905,0.4553432781283504
13,96,689,5,1,279.574841,1.654289,1.3240223199999996,1.5188764435135118,0.14716830718798776
28,23,10,1,1,0.18816,0.00024,0.09599891999999999,0.1364105327567567,0.42095903533869683
13,162,205,1,1,5.647135,0.033415,0.17452228000000003,0.23380521848648653,0.3396869355963404
28,107,22,5,1,46.155648,0.058872,0.9549041400000001,0.5895168557297294,0.38264289467869583
28,670,100,1,1,52.6064,0.0671,1.0860803600000002,0.8083546144864869,0.2557138087954313
13,203,163,3,1,50.355916,0.297964,0.8612960000000001,0.8539636649189191,0.008513141917622974
14,142,49,1,1,1.373372,0.007007,0.14503068,0.16409829897297284,0.1314730026293254
56,37,28,7,1,159.283712,0.050792,0.9654661800000001,1.090693630162162,0.12970671863633987
28,250,53,1,1,10.429552,0.013303,0.18897478,0.20169742454054035,0.06732456331231257
14,159,491,1,2,3.84944,0.07856,0.15489136,0.19101134535135153,0.23319561111317974
14,170,228,3,1,68.417328,0.349068,0.85396304,0.9717575312432413,0.13793862933838597
28,212,12,1,1,2.003904,0.002556,0.14917952,0.16729251210810814,0.12141741780713684
27,498,10,5,2,22.6919475,0.12451,0.9113028400000002,0.5966982170270275,0.34522510977028514
7,488,169,1,1,4.049409,0.082641,0.15791978,0.2018074712432436,0.2779112992890669
13,521,256,7,2,276.13248,6.53568,2.6639684399999997,3.2104525744324306,0.20513911735096643
56,201,29,7,1,895.7984,0.28565,3.0605736000000006,3.0845484143783803,0.007833438273916948
3,970,6,5,1,1.309554,0.145506,0.15704756000000006,0.2656650715135134,0.6916217705866508
8,857,237,7,1,636.964992,9.952578,7.664855639999998,7.19919126886486,0.06075318218715182
8,94,129,3,2,1.748208,0.109263,0.11911557999999997,0.1593960939459456,0.33816326920412615
14,2019,130,7,1,2520.78736,12.86116,13.263613859999996,12.292382008270286,0.07322528098158239
27,261,163,7,1,1519.79733,2.08477,5.12915672,4.650096617243246,0.09339938880961972
13,40,26,1,1,0.180154,0.001066,0.10005097999999998,0.1261683504864868,0.26104062635355324
14,191,35,7,1,64.2096,0.3276,1.7390341999999996,1.0853690198378358,0.3758782778177473
13,160,154,3,1,37.503466,0.221914,0.5326175200000001,0.5906294818918915,0.10891861366462632
13,170,195,1,1,5.635305,0.033345,0.18028122,0.23831545275675686,0.32190947430218675
14,1742,483,7,1,8080.765812,41.228397,36.00336078000001,30.864242493135116,0.14273996025725716
13,42,12,3,1,0.768612,0.004548,0.25147748,0.16889347448648695,0.32839523250158636
56,119,169,5,2,394.308096,0.502944,1.47559774,1.756638686000002,0.19045905152985804
