model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_REGE3Q.pt,1752,1000,1.7525,3.505,0.28355900000000006
fc_prior_88JVE7.pt,1752,1000,1.7525,3.505,0.2265062
fc_prior_BBW0BM.pt,1766,1000,1.7665,3.533,0.21811899999999998
fc_prior_G2O476.pt,1770,1000,1.7705,3.541,0.20360516000000006
fc_prior_SVMQKB.pt,1771,1000,1.7715,3.543,0.21447349999999996
fc_prior_XGO0FS.pt,1777,1000,1.7775,3.555,0.20527033999999997
fc_prior_OMH4J8.pt,1778,1000,1.7785,3.557,0.17529433999999994
fc_prior_TJMB8F.pt,1779,1000,1.7795,3.559,0.20838160000000017
fc_prior_SPLHUZ.pt,1779,1000,1.7795,3.559,0.21588356
fc_prior_7MAVVA.pt,1779,1000,1.7795,3.559,0.27293271999999996
fc_prior_9RFEP7.pt,1780,1000,1.7805,3.561,0.20746952000000007
fc_prior_L5OYGS.pt,1784,1000,1.7845,3.569,0.21089692
fc_prior_L233UC.pt,1788,1000,1.7885,3.577,0.21560516
fc_prior_7K4D5H.pt,1791,1000,1.7915,3.583,0.23646854
fc_prior_DQVAKD.pt,1795,1000,1.7955,3.591,0.2731388400000001
fc_prior_RDNZME.pt,1800,1000,1.8005,3.601,0.22249934000000005
fc_prior_SG89E2.pt,1800,1000,1.8005,3.601,0.17815252
fc_prior_LQ2497.pt,1803,1000,1.8035,3.607,0.22712717999999998
fc_prior_Y0GW1C.pt,1804,1000,1.8045,3.609,0.22683043999999997
fc_prior_RTF4SY.pt,1807,1000,1.8075,3.615,0.22819193999999998
fc_prior_Z2L9E8.pt,1816,1000,1.8165,3.633,0.20745833999999996
fc_prior_4ZZQJY.pt,1820,1000,1.8205,3.641,0.2187367
fc_prior_JMOISK.pt,1821,1000,1.8215,3.643,0.22821144000000004
fc_prior_VH9WX0.pt,1825,1000,1.8255,3.651,0.21530219999999997
fc_prior_KHMOC8.pt,1829,1000,1.8295,3.659,0.17261608000000003
fc_prior_RPT82R.pt,1844,1000,1.8445,3.689,0.21657571999999994
fc_prior_CJVQ4N.pt,1850,1000,1.8505,3.701,0.17893350000000005
fc_prior_SNCI7L.pt,1852,1000,1.8525,3.705,0.19768012000000001
fc_prior_AYSLHL.pt,1860,1000,1.8605,3.721,0.23349036000000006
fc_prior_S2DRB3.pt,1861,1000,1.8615,3.723,0.23156800000000005
fc_prior_8646G5.pt,1861,1000,1.8615,3.723,0.26634502000000004
fc_prior_1XYAHM.pt,1875,1000,1.8755,3.751,0.23197337999999998
fc_prior_CMR6LN.pt,1890,1000,1.8905,3.781,0.22762778000000006
fc_prior_PPZI62.pt,1890,1000,1.8905,3.781,0.28280429999999995
fc_prior_2IJN8C.pt,1898,1000,1.8985,3.797,0.2495265399999999
fc_prior_3QLYUB.pt,1904,1000,1.9045,3.809,0.17037644
fc_prior_BVHQIN.pt,1905,1000,1.9055,3.811,0.22849404000000004
fc_prior_FLY6JT.pt,1915,1000,1.9155,3.831,0.17689924
fc_prior_GJWA02.pt,1925,1000,1.9255,3.851,0.22756365999999997
fc_prior_BD3GKW.pt,1930,1000,1.9305,3.861,0.24273900000000004
fc_prior_TAGL1R.pt,1932,1000,1.9325,3.865,0.24661619999999995
fc_prior_4MP5U1.pt,1933,1000,1.9335,3.867,0.24471215999999998
fc_prior_0VASBE.pt,1935,1000,1.9355,3.871,0.27342378000000006
fc_prior_DJ45C2.pt,1944,1000,1.9445,3.889,0.24709197999999993
fc_prior_8Q672W.pt,1946,1000,1.9465,3.893,0.19283370000000005
fc_prior_RQSU0M.pt,1953,1000,1.9535,3.907,0.23531338000000004
fc_prior_TSPGS6.pt,1955,1000,1.9555,3.911,0.23353182000000008
fc_prior_1LZBWI.pt,1957,1000,1.9575,3.915,0.23326872000000004
fc_prior_RTUOU7.pt,1958,1000,1.9585,3.917,0.23553316000000002
fc_prior_N666H6.pt,1961,1000,1.9615,3.923,0.2848553
fc_prior_OSUHUC.pt,1967,1000,1.9675,3.935,0.2354398000000001
fc_prior_RZA12J.pt,1968,1000,1.9685,3.937,0.23449588
fc_prior_Y23I2V.pt,1972,1000,1.9725,3.945,0.23883867999999997
fc_prior_T6PZKI.pt,1989,1000,1.9895,3.979,0.24960429999999995
fc_prior_GCSBK4.pt,1990,1000,1.9905,3.981,0.24569518
fc_prior_VSMEUS.pt,1997,1000,1.9975,3.995,0.24370711999999986
fc_prior_NPDYX2.pt,2006,1000,2.0065,4.013,0.27097447999999996
fc_prior_ZDAT1L.pt,2009,1000,2.0095,4.019,0.26987206
fc_prior_XF7SRG.pt,2016,1000,2.0165,4.033,0.3121381
fc_prior_BPLH83.pt,2021,1000,2.0215,4.043,0.2480819800000001
fc_prior_SN1NP9.pt,2029,1000,2.0295,4.059,0.25733204
fc_prior_ETXNKM.pt,2032,1000,2.0325,4.065,0.25377281999999995
fc_prior_QJL1YT.pt,2032,1000,2.0325,4.065,0.25427522
fc_prior_0C2AD3.pt,2037,1000,2.0375,4.075,0.2557753799999999
fc_prior_YBVY0M.pt,2042,1000,2.0425,4.085,0.25070751999999996
fc_prior_49K320.pt,2045,1000,2.0455,4.091,0.25465166000000006
fc_prior_2JD0YT.pt,2046,1000,2.0465,4.093,0.23302062000000004
fc_prior_N2JOS2.pt,2047,1000,2.0475,4.095,0.27608054000000004
fc_prior_E70ALA.pt,2047,1000,2.0475,4.095,0.25141689999999994
fc_prior_KVD4LN.pt,2048,1000,2.0485,4.097,0.26549291999999997
fc_prior_A6D6V2.pt,2049,1000,2.0495,4.099,0.24955172000000003
fc_prior_B9J2BQ.pt,2050,1000,2.0505,4.101,0.27152708
fc_prior_S1SJQW.pt,2055,1000,2.0555,4.111,0.2951551399999999
fc_prior_SKD5AC.pt,2058,1000,2.0585,4.117,0.26457800000000004
fc_prior_VQI5UX.pt,2061,1000,2.0615,4.123,0.25410426
fc_prior_XJMW43.pt,2064,1000,2.0645,4.129,0.27428146000000003
fc_prior_WYQ2HZ.pt,2066,1000,2.0665,4.133,0.25452172000000006
fc_prior_LHN52T.pt,2066,1000,2.0665,4.133,0.25647320000000007
fc_prior_ZASYV4.pt,2069,1000,2.0695,4.139,0.24203038000000002
fc_prior_8ZW5UF.pt,2070,1000,2.0705,4.141,0.26511461999999997
fc_prior_L6BK1T.pt,2075,1000,2.0755,4.151,0.25185145999999997
fc_prior_PNQ8RO.pt,2077,1000,2.0775,4.155,0.21606493999999996
fc_prior_338RIO.pt,2087,1000,2.0875,4.175,0.2558180400000001
fc_prior_SJOMWC.pt,2091,1000,2.0915,4.183,0.26044903999999997
fc_prior_OIOGI8.pt,2100,1000,2.1005,4.201,0.2699514
fc_prior_N75GHK.pt,2104,1000,2.1045,4.209,0.2628076
fc_prior_7ZQWS2.pt,2111,1000,2.1115,4.223,0.27463198000000005
fc_prior_ECLG2Q.pt,2112,1000,2.1125,4.225,0.25463447999999994
fc_prior_QOIMW5.pt,2115,1000,2.1155,4.231,0.26027853999999995
fc_prior_DZYPK3.pt,2116,1000,2.1165,4.233,0.25586791999999997
fc_prior_RSZ5BL.pt,2120,1000,2.1205,4.241,0.25817666
fc_prior_UPNITR.pt,2122,1000,2.1225,4.245,0.25865968
fc_prior_CEJXNH.pt,2122,1000,2.1225,4.245,0.25746569999999996
fc_prior_YU4MY9.pt,2122,1000,2.1225,4.245,0.27986529999999993
fc_prior_J62JH9.pt,2123,1000,2.1235,4.247,0.2570750599999999
fc_prior_8SIDPN.pt,2124,1000,2.1245,4.249,0.28779778
fc_prior_3FCF3L.pt,2135,1000,2.1355,4.271,0.32018678
fc_prior_Y6W4EC.pt,2143,1000,2.1435,4.287,0.26925254000000004
fc_prior_HL3IE1.pt,2144,1000,2.1445,4.289,0.28065688
fc_prior_U62RAE.pt,2148,1000,2.1485,4.297,0.25841548
fc_prior_D2OSUE.pt,2157,1000,2.1575,4.315,0.28408938
