feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
28,193,193,3,1,1.51312,0.00193,0.20132828,0.2144847694783778,0.06534844224754616
112,172,172,7,1,107.8784,0.0086,2.8319501000000002,2.6949542367567503,0.04837509786745535
14,124,124,3,1,0.24304,0.00124,0.12807620000000003,0.14991826749099144,0.17053962790113544
28,681,681,5,1,13.881504,0.017706,0.3479723,0.45810293424324183,0.31649253185739734
56,197,197,5,1,16.062592,0.005122,1.0122731600000001,0.6338017782625468,0.37388266002968334
7,52,52,3,2,0.00637,0.00052,0.13370729999999997,0.12977761230810783,0.02939022545434799
7,497,497,3,1,0.24353,0.00497,0.4101631999999998,0.1986675028108111,0.5156379148328977
14,162,162,5,1,0.825552,0.004212,0.17525100000000002,0.17627766397747818,0.005858248897171285
14,81,81,5,1,0.412776,0.002106,0.13252444000000002,0.1449077378328178,0.0934416159979078
28,155,155,3,1,1.2152,0.00155,0.18135024000000005,0.18271988698211028,0.00755249610979411
28,469,469,3,1,3.67696,0.00469,0.26810781999999994,0.2912745671756743,0.08640832324724566
28,1129,1129,5,1,23.013536,0.029354,0.4415006199999999,0.8070846944594612,0.8280488359437895
14,36,36,7,1,0.3528,0.0018,0.16800240000000002,0.16431797793513528,0.02193077042271268
14,79,79,5,1,0.402584,0.002054,0.12151446,0.14049786035521236,0.15622338572061595
14,55,55,3,1,0.1078,0.00055,0.13378183999999996,0.13236136393706593,0.010617854134268323
7,166,166,3,1,0.08134,0.00166,0.13100612000000006,0.15239712943114553,0.16328252016887043
28,579,579,3,1,4.53936,0.00579,0.26437136000000006,0.2848341458738729,0.07740167419751082
14,14,14,5,1,0.071344,0.000364,0.16568842000000006,0.14637863695675637,0.11654274356194402
14,75,75,5,1,0.3822,0.00195,0.14892951999999998,0.1616169635570144,0.0851909249221674
56,566,566,7,1,88.7488,0.0283,1.7116150599999997,2.811330318432439,0.642501508740195
