model_path,HW,CIN,CIN,latency
addrelu_prior_U2RKMQ.pt,14,947,947,0.0047312199999999995
addrelu_prior_WL230H.pt,14,537,537,0.0045968599999999995
addrelu_prior_J41QU1.pt,14,781,781,0.004606519999999999
addrelu_prior_HLOZS8.pt,14,236,236,0.004642200000000001
addrelu_prior_DYHBH6.pt,28,255,255,0.00459828
addrelu_prior_JCR8KO.pt,56,208,208,0.004691320000000001
addrelu_prior_N7RQ4R.pt,7,261,261,0.004596479999999999
addrelu_prior_BVRSEL.pt,224,233,233,0.004612660000000001
addrelu_prior_5LS5YC.pt,112,58,58,0.00463126
addrelu_prior_J4EZ1J.pt,56,989,989,0.0046426
addrelu_prior_H1KP29.pt,14,826,826,0.004636059999999997
addrelu_prior_POBRL4.pt,14,135,135,0.004545819999999999
addrelu_prior_YK6763.pt,28,484,484,0.0045410200000000015
addrelu_prior_TK8M7H.pt,7,174,174,0.004702179999999999
addrelu_prior_QVBYH3.pt,56,107,107,0.00458372
addrelu_prior_A6XU3L.pt,3,1047,1047,0.00463762
addrelu_prior_80ILSI.pt,56,1708,1708,0.004646559999999998
addrelu_prior_H8I16A.pt,56,859,859,0.0046051
addrelu_prior_3G07BY.pt,14,257,257,0.00462886
addrelu_prior_S1I7Q8.pt,56,84,84,0.0047907
addrelu_prior_PRA4SJ.pt,28,255,255,0.0047060999999999995
addrelu_prior_QWBOMA.pt,14,89,89,0.00468162
addrelu_prior_2OCACE.pt,112,88,88,0.0045959400000000015
addrelu_prior_VP7Y50.pt,56,1683,1683,0.004567540000000001
addrelu_prior_HSVJ0Y.pt,28,104,104,0.004757619999999999
addrelu_prior_PRXSRA.pt,7,192,192,0.004547180000000001
addrelu_prior_AEEEM7.pt,28,510,510,0.0046300399999999985
addrelu_prior_J6UGFD.pt,56,87,87,0.00464618
addrelu_prior_I60CN7.pt,14,515,515,0.004652859999999998
addrelu_prior_HUSHLT.pt,14,6,6,0.004634860000000001
addrelu_prior_103580.pt,112,861,861,0.0046672400000000005
addrelu_prior_2T16MF.pt,7,534,534,0.00462116
addrelu_prior_2LUAN3.pt,7,106,106,0.004566520000000002
addrelu_prior_679J0Z.pt,56,301,301,0.004680999999999999
addrelu_prior_AFQIVA.pt,28,99,99,0.004692099999999999
addrelu_prior_GJVLBZ.pt,56,234,234,0.0046781800000000005
addrelu_prior_3PLSIQ.pt,112,175,175,0.004639119999999999
addrelu_prior_Y6NWGM.pt,56,216,216,0.004666820000000001
addrelu_prior_C8GMKW.pt,14,1138,1138,0.00466694
addrelu_prior_GGKNK1.pt,56,148,148,0.004717320000000001
addrelu_prior_ZFVJYS.pt,7,89,89,0.004555779999999999
addrelu_prior_07SAIJ.pt,14,32,32,0.00454462
addrelu_prior_WD3W3B.pt,28,143,143,0.004578300000000001
addrelu_prior_C4G2QV.pt,112,54,54,0.004647480000000001
addrelu_prior_CIGRE9.pt,14,222,222,0.004549900000000001
addrelu_prior_KEJAKF.pt,56,237,237,0.004654160000000002
addrelu_prior_TRB6BX.pt,28,171,171,0.00460862
addrelu_prior_7HHSBY.pt,56,117,117,0.00455686
addrelu_prior_9MRQMU.pt,14,64,64,0.00467184
addrelu_prior_1N4GFA.pt,3,156,156,0.00460762
addrelu_prior_R4COB5.pt,14,34,34,0.0045906800000000015
addrelu_prior_J8CD8I.pt,7,208,208,0.00462188
addrelu_prior_S6S7M5.pt,28,94,94,0.004604659999999999
addrelu_prior_IAL3PB.pt,14,613,613,0.004596340000000001
addrelu_prior_5SBCUL.pt,14,255,255,0.00470686
addrelu_prior_VTJ22Y.pt,14,233,233,0.00459904
addrelu_prior_S4WXH1.pt,112,273,273,0.00464716
addrelu_prior_JTGBI0.pt,14,1584,1584,0.004569060000000001
addrelu_prior_YCAMQC.pt,14,145,145,0.0047411
addrelu_prior_AYKXVS.pt,28,271,271,0.004696680000000001
addrelu_prior_6HVME9.pt,112,269,269,0.004648300000000002
addrelu_prior_ZLCG30.pt,14,50,50,0.004614820000000001
addrelu_prior_FSOFDF.pt,3,496,496,0.00462396
addrelu_prior_TN7GR6.pt,14,240,240,0.00467646
addrelu_prior_AFAUNE.pt,56,940,940,0.004706140000000001
addrelu_prior_H127GM.pt,14,249,249,0.004578419999999999
addrelu_prior_J6LF32.pt,56,185,185,0.004683240000000001
addrelu_prior_A4VBKQ.pt,7,46,46,0.0046392
addrelu_prior_XXYUO4.pt,28,232,232,0.00466028
addrelu_prior_R3OFH8.pt,14,956,956,0.004647480000000001
addrelu_prior_T7Z7QV.pt,14,145,145,0.004649780000000001
addrelu_prior_HTT3U2.pt,1,20,20,0.0046018
addrelu_prior_A0XY79.pt,14,505,505,0.004635659999999999
addrelu_prior_0GRKZS.pt,112,46,46,0.0047722400000000005
addrelu_prior_JON3BR.pt,56,75,75,0.00453782
addrelu_prior_210WWZ.pt,14,2067,2067,0.00454878
addrelu_prior_XH1DDI.pt,14,203,203,0.0046289400000000015
addrelu_prior_8ZZKIZ.pt,28,57,57,0.00460826
addrelu_prior_66OPXK.pt,14,242,242,0.00459728
addrelu_prior_933FMZ.pt,7,1531,1531,0.004603159999999999
addrelu_prior_83C4GA.pt,14,95,95,0.004633140000000001
addrelu_prior_HNE23S.pt,7,978,978,0.00462618
addrelu_prior_TVC4YJ.pt,7,110,110,0.004610139999999999
addrelu_prior_UU3VWP.pt,14,961,961,0.004731639999999999
addrelu_prior_4Z11U9.pt,28,492,492,0.004633939999999998
addrelu_prior_QVZ3QD.pt,14,64,64,0.004582420000000001
addrelu_prior_FAFMJB.pt,14,227,227,0.004556600000000001
addrelu_prior_BJ1W14.pt,28,58,58,0.004615799999999998
addrelu_prior_AVZVRS.pt,28,267,267,0.00466196
addrelu_prior_EIW8YX.pt,14,506,506,0.00458252
addrelu_prior_7UC2QI.pt,7,104,104,0.004707599999999999
addrelu_prior_TIJD4K.pt,28,172,172,0.004582639999999999
addrelu_prior_L3Z5W8.pt,56,231,231,0.00460514
addrelu_prior_U1WFP5.pt,224,510,510,0.004735919999999999
addrelu_prior_7N51BU.pt,1,590,590,0.004669780000000001
addrelu_prior_9M3H3V.pt,56,10,10,0.004636
addrelu_prior_F7ZEPT.pt,14,81,81,0.00460052
addrelu_prior_TYCACD.pt,3,188,188,0.004642880000000001
addrelu_prior_I4V3AQ.pt,56,52,52,0.004634279999999999
addrelu_prior_QDB8P2.pt,28,505,505,0.004706339999999999
addrelu_prior_H7661O.pt,28,102,102,0.004616679999999999
