feature0,feature1,feature2,True,Pred,Error
7,47,47,0.018829540000000006,0.020285244185573433,0.07730959893727761
14,203,203,0.01789736,0.009797493209800914,0.4525732728290143
56,181,181,0.004537799999999999,0.004521282397425982,0.0036400023302078856
14,99,99,0.004963600000000001,0.015959139589698544,2.21523482748379
14,237,237,0.009372160000000001,0.009954229802339001,0.06210625963908
7,942,942,0.005721799999999999,0.006408688802702707,0.1200476777766976
14,33,33,0.01035478,0.019005638652267984,0.8354459150525637
28,69,69,0.00448016,0.006448385985942742,0.4393204675598063
14,36,36,0.011489420000000002,0.018088782056866322,0.5743860052871528
7,246,246,0.01766752,0.013893733456473102,0.21360024177286324
14,32,32,0.011765439999999993,0.018159340186435953,0.5434476047165225
14,158,158,0.006960340000000001,0.012950389850175895,0.8605973056166644
7,96,96,0.016087240000000006,0.018607268619591392,0.15664766731840793
14,109,109,0.01626439999999999,0.013352473615513076,0.1790368156517865
14,44,44,0.013679540000000006,0.017517336775768173,0.28055013368637877
14,179,179,0.0074878,0.010171047429102029,0.35834923864179447
14,270,270,0.005639319999999998,0.008289899276769628,0.4700175334560959
14,31,31,0.019528959999999998,0.018279145126752053,0.06399802515074765
7,581,581,0.0045562599999999995,0.010387447972504939,1.2798189682996448
7,142,142,0.02065212,0.019251753360380607,0.0678074037735299
14,111,111,0.018656480000000007,0.01365056393169498,0.26832050141854324
14,283,283,0.0087379,0.006495424031394153,0.25663786134035027
7,186,186,0.016921359999999996,0.0162572147013443,0.03924893144851806
7,210,210,0.015222140000000006,0.015256475152208494,0.002255606124269569
28,25,25,0.01795042000000001,0.014688042020928006,0.18174382432678463
7,122,122,0.0119126,0.019025001852183688,0.597048658746511
7,87,87,0.02605512,0.016467320377562714,0.3679814033647623
14,193,193,0.00459508,0.012770763393752816,1.7792254745842981
14,140,140,0.013041040000000004,0.012117255426615023,0.07083672570477356
7,28,28,0.017870699999999996,0.01894922957618588,0.060351837151644064
3,37,37,0.021298959999999995,0.020431451581209847,0.040730083477791786
7,701,701,0.00973888,0.011777628648397095,0.20934118177830455
7,159,159,0.01720804,0.01729437308525865,0.005017020256731638
7,235,235,0.025104539999999988,0.015157724228626485,0.3962158148037569
28,23,23,0.018430740000000004,0.014965006560037105,0.18804092727491675
3,826,826,0.02304122,0.012852191296396398,0.4422087330273138
14,280,280,0.0064031600000000015,0.00782161764172028,0.22152462873335646
14,267,267,0.004442419999999999,0.006824131573083372,0.5361293108448489
7,118,118,0.019334799999999996,0.019630007958687336,0.01526821889480833
14,114,114,0.01884066,0.013381680555552743,0.2897445972936859
7,459,459,0.019016900000000007,0.015078953618597157,0.20707614707985256
28,23,23,0.01138184,0.014965006560037105,0.31481434987990553
14,217,217,0.00758004,0.007390725533585172,0.02497539147746293
28,63,63,0.0045155,0.0086848887034989,0.9233503938653302
7,9,9,0.01282732,0.01634448865268125,0.2741935690916926
3,122,122,0.012617980000000003,0.012542355601265555,0.005993383943741237
7,144,144,0.023304760000000004,0.01770403265476152,0.24032546764002213
14,72,72,0.021015779999999998,0.016842954452788234,0.19855677720321416
28,153,153,0.00448042,0.0044843477972973085,0.0008766582814354072
14,30,30,0.012396939999999997,0.018964963209294968,0.5298100345161768
7,224,224,0.02144466,0.014043672113763884,0.3451203183559971
3,265,265,0.0045638,0.02270262872072081,3.9745012315878894
7,282,282,0.01597138,0.017011330965387473,0.06511340694338702
1,298,298,0.01814497999999999,0.018477212724324305,0.018309897521204998
7,182,182,0.02193598,0.01505742140763619,0.3135742552812234
7,934,934,0.004511,0.007324575702702695,0.6237144098210363
7,427,427,0.016999740000000003,0.01529389382922664,0.1003454270932004
14,102,102,0.018627619999999994,0.015857048222304427,0.14873460902120442
14,87,87,0.020642559999999994,0.014004673974456712,0.32156312131553855
