feature0,feature1,feature2,feature3,True,Pred,Error
4023,1000,4.0235,8.047,0.03258185999999998,0.031218854162162264,0.041833272803876775
1164,4078,4.748831,9.497662,0.030579599999999995,0.0323898290810811,0.05919727795919853
4079,1071,4.3691445,8.738289,0.03005867999999999,0.03389523378378372,0.12763547114456567
9456,4092,38.695998,77.391996,0.007684239999999998,0.007809786459459489,0.01633817520789177
3730,1000,3.7305,7.461,0.03729634,0.0367310828866152,0.015155833344097416
24557,1000,24.5575,49.115,0.007793519999999998,0.007780260486486495,0.0017013510600477403
2024,1000,2.0245,4.049,0.053321679999999996,0.05530030464864857,0.037107320111605085
1343,1000,1.3435,2.687,0.05688976000000001,0.05775098443243268,0.015138478918397029
1980,4053,8.0269665,16.053933,0.014414820000000002,0.02131214221621631,0.47848826528644195
889,1000,0.8895,1.779,0.060178099999999984,0.05821843953603601,0.032564345899321744
24832,1000,24.8325,49.665,0.007589980000000004,0.007638931513513476,0.006449491765916692
2238,1000,2.2385,4.477,0.04309950000000003,0.04714081660180177,0.09376713423129598
2036,1000,2.0365,4.073,0.05521654,0.053066935729729536,0.03893044131831631
1832,1000,1.8325,3.665,0.05516492000000001,0.054147424270270285,0.018444615341230042
2153,1049,2.2590215,4.518043,0.04012853999999999,0.03603559535135137,0.10199585254406522
24795,1000,24.7955,49.591,0.007564179999999999,0.007579397270270283,0.002011754118791891
3994,1000,3.9945,7.989,0.03442816,0.03405244324285721,0.010913065268163942
1391,4087,5.6870605,11.374121,0.028893479999999996,0.02883213837837843,0.0021230264274696648
840,1008,0.847224,1.694448,0.02481751999999999,0.05888221572972982,1.3726067604551078
3836,1072,4.112728,8.225456,0.03667126000000001,0.03440612551351344,0.06176865715785516
25041,1000,25.0415,50.083,0.00764058,0.007782135945945945,0.018526858686898722
4173,4027,16.8066845,33.613369,0.00934606,0.00880370983783784,0.05802981814391938
947,1000,0.9475,1.895,0.06101244,0.059515743765766065,0.024531001124261487
985,1000,0.9855,1.971,0.05934098000000001,0.05913362281081089,0.0034943337502872547
24513,4025,98.6668375,197.333675,0.007543240000000002,0.007545031729729739,0.0002375278699520133
9349,1000,9.3495,18.699,0.012615439999999999,0.01453119075675675,0.15185762500212058
1067,1000,1.0675,2.135,0.059088939999999986,0.060616001081080874,0.0258434333240855
3768,1049,3.9531565,7.906313,0.03647098000000001,0.03669880702702701,0.00624680299314703
3977,1046,4.160465,8.32093,0.03679100000000001,0.03573589935135127,0.028678226975313033
560,1000,0.5605,1.121,0.0094215,0.01976761417657647,1.0981387439979273
4187,1075,4.5015625,9.003125,0.031074079999999994,0.03783649616216224,0.21762240948604905
4003,1005,4.0235175,8.047035,0.03626592000000001,0.034071149257657744,0.060518821591793684
1914,1066,2.040857,4.081714,0.05121326,0.05202795124324319,0.015907818468170076
9429,1000,9.4295,18.859,0.015599220000000009,0.015744363999999938,0.009304567792487613
3841,1069,4.1065635,8.213127,0.03499932000000001,0.03293827637837832,0.058888104729511594
3678,1000,3.6785,7.357,0.03532118,0.0355968307783786,0.00780412144720533
25032,4089,102.3578925,204.715785,0.007791999999999999,0.00790739605405404,0.014809555191740377
776,1044,0.810666,1.621332,0.05998996,0.058946100675675704,0.017400567100299746
2213,1060,2.34631,4.69262,0.03186784000000001,0.03895467037837818,0.22238188651562735
24867,1000,24.8675,49.735,0.007544819999999999,0.007574449837837853,0.003927176239837985
3599,1000,3.5995,7.199,0.039293140000000004,0.039875624090090295,0.01482406572980145
3649,1000,3.6495,7.299,0.039874940000000005,0.03879851897297318,0.026994925309651276
24857,1067,26.5229525,53.045905,0.00730758,0.007600145783783776,0.040035933070014365
24916,1006,25.065999,50.131998,0.007649180000000001,0.007611268770270284,0.004956247562446807
2177,1026,2.234115,4.46823,0.050304499999999995,0.024176863189189247,0.5193896532280562
3920,1004,3.936182,7.872364,0.03606128,0.036459718323423485,0.011048923483123266
3692,1000,3.6925,7.385,0.0407338,0.0366581758881597,0.10005509213086677
3821,1000,3.8215,7.643,0.040169360000000015,0.03769167661441426,0.061680927592218326
1755,1000,1.7555,3.511,0.04852118000000001,0.04982978599909891,0.026969789256957435
1343,1000,1.3435,2.687,0.05681254,0.05775098443243268,0.01651826220817933
1416,1000,1.4165,2.833,0.05345959999999999,0.05744755437837818,0.07459753493064282
1833,4070,7.462345,14.92469,0.025650100000000006,0.02709960724324316,0.05651078332026595
3950,4089,16.1535945,32.307189,0.009909439999999997,0.008783779567567544,0.11359475736595141
4144,1000,4.1445,8.289,0.03764289999999999,0.036659343351351306,0.026128609874602835
24815,1074,26.651847,53.303694,0.00801394,0.007459513189189199,0.06918280032178947
24695,1000,24.6955,49.391,0.008028960000000002,0.007585518702702668,0.05523022873414907
3789,1000,3.7895,7.579,0.035507,0.03987844568108119,0.12311503875520864
1001,4022,4.028033,8.056066,0.033546240000000005,0.03692473502702714,0.10071158577018266
1472,1042,1.534345,3.06869,0.04717470000000001,0.05298483027027037,0.12316199722033981
3729,1000,3.7295,7.459,0.037161139999999995,0.03723775626782502,0.0020617308248624135
2353,1075,2.5300125,5.060025,0.047005359999999996,0.045872736702702796,0.024095620101562888
3700,4084,15.112842,30.225684,0.011434079999999996,0.010859931405405417,0.05021379897591924
4062,4079,16.5709375,33.141875,0.008376060000000001,0.008840476918918918,0.05544574882688484
894,1000,0.8945,1.789,0.06096368,0.05677494357207209,0.06870872014169596
2053,1000,2.0535,4.107,0.05413692000000001,0.052376930448648655,0.032509968268445204
1729,4051,7.0062045,14.012409,0.03138936000000001,0.02996206405405406,0.045470692806286954
1567,1033,1.6192275,3.238455,0.04111366,0.051778520054054145,0.25939943206355603
4009,1019,4.0856805,8.171361,0.03204166,0.034633047220720706,0.08087556077683572
1968,1000,1.9685,3.937,0.05423890000000001,0.05459358529729737,0.0065393158286278065
2351,1019,2.3961785,4.792357,0.04554774000000001,0.0450659601081082,0.010577470844696398
3919,1002,3.927339,7.854678,0.0399001,0.03562957134684695,0.10703052506517648
1888,1064,2.009364,4.018728,0.056117979999999984,0.05214330783783789,0.07082707114835737
1810,1031,1.8666255,3.733251,0.05059330000000002,0.04492836118918923,0.11197013855215597
3801,1033,3.9269495,7.853899,0.039706080000000005,0.036586765513513655,0.07856012193816032
24893,1020,25.39137,50.78274,0.007567780000000003,0.007611122540540557,0.005727246370871533
1963,1064,2.089164,4.178328,0.04905476000000001,0.04908854374774782,0.0006886945884112085
9619,1044,10.042758,20.085516,0.013545220000000007,0.012531511297297286,0.07483885110044138
795,4041,3.2146155,6.429231,0.039028639999999996,0.038178769405405565,0.02177556262771216
4051,1072,4.343208,8.686416,0.02823113999999999,0.03206148837837834,0.13567813337960674
970,1000,0.9705,1.941,0.05980468,0.06029246472972999,0.008156296960873125
1554,1064,1.653988,3.307976,0.05937711999999997,0.05063933772972988,0.14715739446894857
24745,4092,101.258586,202.517172,0.007695599999999996,0.00755377848648651,0.01842890918362265
1799,1000,1.7995,3.599,0.05309588000000001,0.056975501553281835,0.0730682221159499
2093,1000,2.0935,4.187,0.050008519999999994,0.052098748108108064,0.04179743987840614
1658,4025,6.6754625,13.350925,0.03045849999999999,0.029749341189189097,0.023282788410817747
939,1000,0.9395,1.879,0.06088458,0.05943691352586855,0.023777226912486703
3955,1014,4.010877,8.021754,0.03488958,0.03353041040540533,0.03895631860844047
1652,1025,1.6938125,3.387625,0.026124199999999993,0.033019639055855754,0.2639483335702438
3764,1000,3.7645,7.529,0.038898600000000005,0.03607298773873883,0.07264046164286574
2123,1016,2.157476,4.314952,0.044374380000000005,0.03645394714864866,0.17849112148386842
24916,4045,100.7872425,201.574485,0.00771752,0.007573080648648687,0.01871577285854953
2130,1000,2.1305,4.261,0.039142960000000004,0.04380730134414423,0.11916169201675657
3982,1018,4.054185,8.10837,0.0356407,0.03441497383783791,0.034391192152850136
615,1000,0.6155,1.231,0.05971424,0.06048020214530253,0.012827127085642032
4007,1031,4.1317325,8.263465,0.03674809999999999,0.03612446399999994,0.01697056446455878
994,1033,1.0273185,2.054637,0.05881998000000003,0.0583236586846847,0.008437971507561379
24970,1000,24.9705,49.941,0.00751388,0.007788153432432397,0.03650223751675531
9325,1000,9.3255,18.651,0.01419344,0.014663700216216175,0.03313222278856819
1755,4027,7.0693985,14.138797,0.02621297999999999,0.02857669881081074,0.0901736014299309
3641,4039,14.7080185,29.416037,0.008514060000000002,0.008410877027027017,0.012119126829384033
1644,1000,1.6445,3.289,0.05328123999999999,0.05646312113513529,0.059718601427731485
24825,1000,24.8255,49.651,0.0075927600000000005,0.00783692086486484,0.03215706342158051
954,1075,1.0260875,2.052175,0.058279620000000004,0.058326255459459346,0.000800201845162028
2064,4048,8.357096,16.714192,0.02231674000000001,0.022030983405405418,0.012804585015310942
3977,4021,15.9935275,31.987055,0.007700899999999998,0.008446965945945907,0.09688035761351389
1617,1027,1.6611725,3.322345,0.05598586000000001,0.04294551675675676,0.23292208502724174
3981,1000,3.9815,7.963,0.03403783999999999,0.0325586451351353,0.04345736582769912
3842,1000,3.8425,7.685,0.03945394,0.03758266839639659,0.047429270780140365
3819,4053,15.4804335,30.960867,0.010070640000000002,0.009577220918918923,0.04899580176444391
3770,1000,3.7705,7.541,0.035623699999999994,0.037094496214157134,0.041287014379672526
3601,4088,14.722932,29.445864,0.00875072,0.008594346810810788,0.017869751196382982
1866,1000,1.8665,3.733,0.052636759999999984,0.053089727405405636,0.008605533573982369
3642,4091,14.9014675,29.802935,0.007602179999999999,0.009036829081081024,0.18871548438487704
3891,4085,15.8967775,31.793555,0.007965980000000001,0.009060603135135122,0.13741223743156789
870,1000,0.8705,1.741,0.009649739999999997,0.06094600333494214,5.315818181105621
1460,1000,1.4605,2.921,0.057113359999999995,0.05734816789189168,0.004111260340692303
3938,1057,4.1629945,8.325989,0.03615197999999999,0.036376144378378335,0.00620061137393696
4114,4094,16.844763,33.689526,0.010744959999999996,0.008320530216216253,0.2256341376593067
4196,1000,4.1965,8.393,0.03250238,0.03678871410810825,0.13187754583228228
4030,1000,4.0305,8.061,0.03947578,0.0357850426743888,0.09349371502250757
2094,4090,8.566505,17.13301,0.013069459999999998,0.01568917816216221,0.2004457844595118
4173,1069,4.4614715,8.922943,0.029986280000000004,0.03760224605405415,0.2539816894277698
3735,1000,3.7355,7.471,0.03981797999999999,0.03782930295405405,0.04994419721808932
24705,1000,24.7055,49.411,0.007069539999999998,0.007424577675675693,0.05022076056938571
1411,1000,1.4115,2.823,0.05667618,0.05564389275675664,0.018213775932735106
1249,1000,1.2495,2.499,0.0592741,0.05958003058391255,0.005161286023955592
2058,1000,2.0585,4.117,0.05544681999999999,0.05093943013513532,0.08129212576780179
3732,1000,3.7325,7.465,0.04094154,0.03685460620154444,0.09982364606840778
909,1000,0.9095,1.819,0.06044842,0.03256850825225234,0.4612182046734664
760,1000,0.7605,1.521,0.05872050000000001,0.05891288169523806,0.003276227130866614
905,1055,0.9553025,1.910605,0.06180570000000001,0.05287156308108112,0.14455198984752043
2114,4027,8.5150915,17.030183,0.019059139999999995,0.014264975297297285,0.25154150201439895
24980,1004,25.080422,50.160844,0.00766098,0.007602194396396415,0.007673379072074993
1589,4019,6.3882005,12.776401,0.027301699999999988,0.029776169081081025,0.0906342491889164
1913,1000,1.9135,3.827,0.05289589999999999,0.05116206334826251,0.03277828058011073
2018,1000,2.0185,4.037,0.05437101999999999,0.055014925567567576,0.011842808311625999
2343,1000,2.3435,4.687,0.04962871999999999,0.04504720174054054,0.09231586588288894
3649,1062,3.875769,7.751538,0.03629505999999999,0.03861321032432435,0.06386958237083387
987,4029,3.9786375,7.957275,0.03698727999999999,0.03173043524324324,0.14212574584442955
24802,1037,25.7201925,51.440385,0.00762396,0.007601583945945958,0.0029349647760536246
24687,4056,100.1325,200.265,0.0070994000000000005,0.007647306162162146,0.07717640394429749
2080,1033,2.1491565,4.298313,0.050395499999999996,0.02925805600000003,0.4194311793711734
3817,1000,3.8175,7.635,0.03964744,0.03555438367567564,0.10323633314847962
1858,1016,1.888236,3.776472,0.051386199999999986,0.049778150056756655,0.03129342008639151
24691,4047,99.9265005,199.853001,0.00795842,0.007612653783783789,0.043446590682096636
2259,1000,2.2595,4.519,0.04165664,0.04319298581531539,0.03688117465343787
606,1000,0.6065,1.213,0.009610140000000001,0.054580330970270256,4.679452221327707
3784,4042,15.296949,30.593898,0.009839779999999998,0.009603126486486487,0.024050691531061787
1026,1000,1.0265,2.053,0.058930500000000025,0.05833718356756756,0.010068070565029332
3935,1000,3.9355,7.871,0.036654019999999995,0.03477441214504493,0.05127971924921369
3648,4083,14.8968255,29.793651,0.007844280000000002,0.00989388913513508,0.2612870951999517
638,4085,2.6082725,5.216545,0.0405971,0.028984433783783875,0.2860466933898264
2062,1000,2.0625,4.125,0.053033440000000015,0.05341732405405398,0.007238528257906023
2003,1000,2.0035,4.007,0.055599520000000006,0.05472863610810814,0.015663514575159437
1093,1040,1.13724,2.27448,0.05880477999999998,0.0580391747027027,0.013019439870318023
4125,4060,16.74953,33.49906,0.007722339999999999,0.008126010162162172,0.05227303669123254
3949,1000,3.9495,7.899,0.0345302,0.03557687018120971,0.030311732373681982
3932,1029,4.0465425,8.093085,0.03481616,0.03541921540540541,0.01732113493864369
1091,4077,4.4500455,8.900091,0.03455513999999999,0.03269644102702701,0.05378936311567481
2331,1013,2.3618095,4.723619,0.047793659999999995,0.0377742062342343,0.2096398092501326
4043,1000,4.0435,8.087,0.03323477999999999,0.03474550671827536,0.04545619734132036
598,1000,0.5985,1.197,0.00956624,0.02346518241441435,1.4529159224956043
4197,1061,4.4535475,8.907095,0.03707389999999997,0.03386411854054063,0.08657792839327243
1775,1059,1.8802545,3.760509,0.05273071999999999,0.05477323102702696,0.03873474564783062
973,1000,0.9735,1.947,0.058628319999999984,0.06033228280064348,0.029063817633585606
1686,1000,1.6865,3.373,0.05164633999999999,0.05272784786666652,0.0209406487791105
773,1000,0.7735,1.547,0.0587334,0.061138897945946305,0.04095621819861113
1632,1024,1.67168,3.34336,0.049323559999999995,0.04579817740540533,0.0714746176998308
