model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_IGP783.pt,7,74,17,1,1,0.062475,0.001275,0.02469392
conv-bn-relu_prior_BBHYV4.pt,1,13,98,7,1,0.062524,0.062524,0.023427639999999993
conv-bn-relu_prior_F5SY5N.pt,13,16,22,1,1,0.063206,0.000374,0.024387480000000003
conv-bn-relu_prior_SWX8KL.pt,7,188,7,1,1,0.064827,0.001323,0.02586604
conv-bn-relu_prior_6BQQO6.pt,3,56,127,1,1,0.065151,0.007239,0.02461268
conv-bn-relu_prior_2FWXNC.pt,3,139,52,1,1,0.06552,0.00728,0.024281860000000006
conv-bn-relu_prior_IJA4RK.pt,13,57,7,1,1,0.068614,0.000406,0.024442059999999995
conv-bn-relu_prior_AVD90H.pt,7,141,10,1,1,0.06958,0.00142,0.024346980000000008
conv-bn-relu_prior_S96QO4.pt,3,126,62,1,1,0.070866,0.007874,0.02454086
conv-bn-relu_prior_3DF3AI.pt,14,12,113,1,2,0.071981,0.001469,0.023721379999999993
conv-bn-relu_prior_DJ3NRF.pt,8,49,23,1,1,0.0736,0.00115,0.02395032
conv-bn-relu_prior_PYQQYZ.pt,27,25,4,1,1,0.075816,0.000104,0.023601719999999996
conv-bn-relu_prior_AGK6X7.pt,3,64,130,1,1,0.07605,0.00845,0.024801180000000006
conv-bn-relu_prior_06OXNS.pt,1,535,144,1,1,0.077184,0.077184,0.023700500000000003
conv-bn-relu_prior_K704US.pt,3,10,96,3,1,0.078624,0.008736,0.023768579999999994
conv-bn-relu_prior_7XAGSV.pt,7,534,12,1,2,0.078645,0.00642,0.031344620000000004
conv-bn-relu_prior_OZAZ5M.pt,3,210,43,1,1,0.081657,0.009073,0.024585759999999995
conv-bn-relu_prior_P6S7AQ.pt,27,5,19,1,1,0.083106,0.000114,0.023597099999999996
conv-bn-relu_prior_8D0WTQ.pt,13,16,29,1,1,0.083317,0.000493,0.02390784
conv-bn-relu_prior_15W6CC.pt,13,54,36,1,2,0.083655,0.00198,0.03128051999999999
conv-bn-relu_prior_GTKTEA.pt,1,1971,174,1,2,0.085782,0.343128,0.032341640000000005
