model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_X0QQ0G.pt,973,1000,0.9735,1.947,0.058628319999999984
fc_prior_O0WC46.pt,975,1000,0.9755,1.951,0.059522700000000005
fc_prior_KSFFZS.pt,975,1000,0.9755,1.951,0.05976049999999999
fc_prior_SPIWEN.pt,975,1000,0.9755,1.951,0.06082851999999999
fc_prior_4ULGZJ.pt,976,1000,0.9765,1.953,0.05720222
fc_prior_X8PPHX.pt,978,1000,0.9785,1.957,0.0600714
fc_prior_O5QID1.pt,979,1000,0.9795,1.959,0.058824120000000014
fc_prior_KYUKEF.pt,985,1000,0.9855,1.971,0.05934098000000001
fc_prior_6DSH9H.pt,986,1000,0.9865,1.973,0.06129436
fc_prior_BBUKQ1.pt,989,1000,0.9895,1.979,0.05911286
fc_prior_J1K5QC.pt,991,1000,0.9915,1.983,0.05973661999999999
fc_prior_D876OX.pt,992,1000,0.9925,1.985,0.060324860000000015
fc_prior_KC6VA9.pt,994,1000,0.9945,1.989,0.05995908
fc_prior_OZRIM8.pt,994,1000,0.9945,1.989,0.05948378
fc_prior_9DNGTZ.pt,1004,1000,1.0045,2.009,0.059726879999999996
fc_prior_CZ5HVP.pt,1004,1000,1.0045,2.009,0.06026274
fc_prior_Q587QK.pt,1009,1000,1.0095,2.019,0.059221119999999995
fc_prior_XWEGJB.pt,1012,1000,1.0125,2.025,0.05929068
fc_prior_R9R7ZR.pt,1014,1000,1.0145,2.029,0.05702128
fc_prior_ML1XZH.pt,1020,1000,1.0205,2.041,0.06260935999999999
fc_prior_R7MKXV.pt,1026,1000,1.0265,2.053,0.058930500000000025
fc_prior_YWNNA0.pt,1028,1000,1.0285,2.057,0.058455199999999985
fc_prior_9FS3Q5.pt,1029,1000,1.0295,2.059,0.06008090000000002
fc_prior_AZRQJB.pt,1030,1000,1.0305,2.061,0.05959146000000001
fc_prior_0HQ5HG.pt,1047,1000,1.0475,2.095,0.05924607999999999
fc_prior_R9JOD5.pt,1049,1000,1.0495,2.099,0.061304279999999996
fc_prior_DSIKJE.pt,1051,1000,1.0515,2.103,0.058956700000000015
