feature0,feature1,feature2,True,Pred,Error
112,1448,1448,0.004611459999999999,0.004674222594594585,0.013610135313888947
14,179,179,0.004593959999999999,0.004593466575348071,0.0001074072590810657
112,102,102,0.004631520000000001,0.004651059855855859,0.0042188862092484205
7,148,148,0.00461086,0.004647351651737457,0.00791428317872523
14,129,129,0.00460068,0.004619189158043751,0.004023135285164523
14,218,218,0.004629539999999999,0.0046705134244315666,0.008850431021563207
28,228,228,0.0047568,0.004666324165765763,0.019020314966834363
14,523,523,0.00464006,0.0046502171873873815,0.0021890206995991163
7,268,268,0.004618420000000001,0.004616945190990989,0.0003193319379812283
7,152,152,0.00461882,0.004632200269712562,0.0028969021768680417
28,199,199,0.00465158,0.004686042207850699,0.007408710126601969
7,180,180,0.004626139999999999,0.004630816495495515,0.0010108849917027179
14,201,201,0.00460324,0.004634791977863576,0.006854297812752762
28,267,267,0.00465034,0.004660085243243234,0.0020955980085830186
28,113,113,0.004706640000000001,0.004705821169626774,0.00017397344458603767
14,51,51,0.004673919999999999,0.00459396632059203,0.017106343156915164
14,34,34,0.00472894,0.004610007608408411,0.025149904966353862
14,515,515,0.004652859999999998,0.004626496809675916,0.005666018389567411
14,996,996,0.00468162,0.004686753628185334,0.0010965495245948325
28,113,113,0.004615739999999999,0.004705821169626774,0.019516084013998836
7,192,192,0.0046400600000000005,0.004561792009009027,0.016867883387493527
56,520,520,0.004628480000000001,0.004681299675675676,0.011411883744917355
28,60,60,0.00465668,0.004620808201608775,0.0077032990008384684
14,210,210,0.00460082,0.004604975149999999,0.0009031324850785318
7,210,210,0.0045749,0.004624357590326046,0.010810638555169732
14,9,9,0.00468594,0.004612177928828836,0.015741147170293308
3,104,104,0.004685440000000001,0.004636470793114545,0.01045135715865662
28,187,187,0.004640320000000001,0.004616761040154446,0.005077011896928339
14,268,268,0.004627699999999998,0.004650067538738717,0.004833402929904519
7,1690,1690,0.004586360000000001,0.004579335945945934,0.0015315095313205278
7,542,542,0.004666359999999999,0.00469351090750753,0.005818433962988502
28,225,225,0.004674960000000001,0.00466683109009011,0.0017388191363970952
14,956,956,0.004647480000000001,0.004711633801801792,0.013803997392520586
14,993,993,0.00465898,0.004683343178764484,0.005229294558998662
28,42,42,0.004622560000000001,0.004609678601608752,0.002786637359222808
56,499,499,0.00462892,0.0046245532944658675,0.0009433529925192971
7,263,263,0.004645699999999999,0.004641661104504501,0.0008693836225969276
28,253,253,0.004642799999999999,0.004744911458815974,0.021993507972769673
56,437,437,0.004597420000000001,0.004698949648648644,0.022084049020677458
7,506,506,0.0047402799999999995,0.0046614221261261374,0.016635699552318018
28,220,220,0.004670359999999998,0.0046838081531531675,0.002879468210837939
112,214,214,0.0046383000000000014,0.004615540783783792,0.0049068012453290346
112,493,493,0.004658160000000001,0.004617882284684682,0.008646700696265967
28,121,121,0.00459518,0.004621422760360357,0.0057109319679223116
28,515,515,0.0046053599999999984,0.0045845063297297135,0.0045281303242927715
14,145,145,0.00459746,0.004656432849056201,0.01282726745990185
28,541,541,0.004549280000000001,0.0046014355180180105,0.011464565385733448
112,471,471,0.004670080000000001,0.0046246248108108125,0.00973327848541961
112,786,786,0.00459908,0.004620480918918898,0.004653304338889079
28,153,153,0.00458658,0.004605605676791084,0.0041481183781998535
28,48,48,0.0047541,0.004585450094594595,0.035474623042301395
7,270,270,0.004624380000000001,0.004682895315315335,0.012653656342111599
7,143,143,0.004591059999999999,0.004626850294980699,0.007795649584344258
14,1277,1277,0.00471536,0.004643179081081061,0.015307615732189911
14,267,267,0.00458982,0.004649645754954932,0.013034444696073537
14,228,228,0.004592780000000001,0.004634195756756754,0.009017579060341037
7,173,173,0.004601300000000003,0.00460140365585586,2.2527515236353233e-05
28,188,188,0.004626639999999998,0.004627151737087092,0.00011060663615375296
14,450,450,0.00457714,0.004662986551351357,0.018755500454728628
112,256,256,0.004608460000000001,0.0046492567789575235,0.008852583934225895
14,580,580,0.00460708,0.004629366648648655,0.00483747810948683
112,825,825,0.004515760000000001,0.004568386702702691,0.01165400789738391
56,218,218,0.00473194,0.0046932487102745455,0.008176623060616601
3,458,458,0.004573640000000001,0.004637035549549535,0.013861071170781569
28,163,163,0.00461422,0.00466083302972972,0.010102038855910742
224,39,39,0.004712759999999998,0.004637016243243251,0.016072058996585273
14,161,161,0.004608620000000001,0.004687148529897424,0.01703948902218522
14,217,217,0.004597320000000001,0.004631786094095396,0.007496996966796964
7,103,103,0.00471622,0.004639073436615187,0.016357710917814038
28,112,112,0.004630659999999998,0.004638594522522513,0.0017134755137529168
112,499,499,0.00471956,0.004613351347747738,0.022503930928362517
112,2152,2152,0.004679359999999999,0.004589747243243245,0.019150643839489553
28,1751,1751,0.004810319999999999,0.004620273026126142,0.03950817697655389
28,172,172,0.004691000000000001,0.004597483459459437,0.01993531028364182
3,188,188,0.004642880000000001,0.004622454592020595,0.004399296983640857
56,940,940,0.004706140000000001,0.0046314741081081145,0.015865633383598133
14,536,536,0.00461986,0.004637191473873859,0.0037515149536694174
14,513,513,0.0046773399999999994,0.004634079673745157,0.009248916318856961
14,77,77,0.0046509,0.004691611938738728,0.008753561405045893
56,40,40,0.0046983,0.004630915527027029,0.014342309553023621
14,921,921,0.004664579999999999,0.0046624992432432585,0.00044607590752873704
56,1667,1667,0.00472004,0.004616708242342351,0.02189213601106118
28,525,525,0.0045749200000000005,0.0045577461351351475,0.003753915885928718
56,471,471,0.004705999999999999,0.004618252432432418,0.018645891960812046
28,61,61,0.00454734,0.004640818701673115,0.02055678741266646
56,98,98,0.00456176,0.004597901189575312,0.007922641606597454
14,250,250,0.0045930799999999985,0.004597488517503222,0.0009598172692884625
7,31,31,0.00459794,0.004617013742342352,0.004148323454058161
56,243,243,0.00468442,0.004672793116216204,0.0024820327348521205
112,129,129,0.004623599999999999,0.004651185807271555,0.005966304886139647
28,141,141,0.004605219999999999,0.004623291438996151,0.003924120670923788
14,173,173,0.0046871000000000005,0.004594309765765755,0.019796939308793372
7,660,660,0.0046205000000000005,0.004627598594594599,0.0015363260674383517
56,121,121,0.004582,0.004602347587387386,0.004440765470839302
3,43,43,0.0047475400000000015,0.004633660467181467,0.023987061260891916
7,513,513,0.0045918999999999995,0.004668504122522511,0.01668244572453915
28,73,73,0.00463128,0.004645017324324303,0.0029662046614118134
56,1277,1277,0.00467528,0.00468560118918919,0.002207608782616069
28,1697,1697,0.00462198,0.0045941113261261275,0.006029596379446219
7,12,12,0.004649980000000001,0.004617396139961392,0.007007311867708892
112,94,94,0.0046764,0.004719446972972937,0.009205152034243685
7,174,174,0.004627799999999999,0.004690890634234242,0.013632964742262691
56,132,132,0.004625800000000002,0.004619358962162149,0.0013924159794744474
112,54,54,0.004647480000000001,0.004703232064864888,0.011996192531196897
14,30,30,0.004590020000000001,0.004613489295624211,0.005113114022206858
56,518,518,0.00468084,0.004656098216216238,0.00528575721104817
56,209,209,0.004618400000000001,0.004721394889832684,0.022300989483951924
28,102,102,0.004616679999999999,0.0046578509606177545,0.008917871851147488
14,166,166,0.0045871,0.00460893773667953,0.00476068467649062
7,99,99,0.004782839999999999,0.004682232189189191,0.02103516128718674
14,330,330,0.0046739,0.004691112126126138,0.0036826047040240777
112,82,82,0.0046329399999999995,0.004781905598198224,0.0321535781163202
14,49,49,0.004637660000000001,0.004618904785842997,0.004044111503862781
14,113,113,0.004600559999999999,0.00460122686769628,0.00014495359179773914
56,495,495,0.004752459999999999,0.004594472414414396,0.03324332778931407
224,129,129,0.004906820000000002,0.004729436057271537,0.036150489059811525
7,127,127,0.004602340000000002,0.004757255306306282,0.033660117745816266
112,932,932,0.0046205000000000005,0.004680519783783783,0.01298988935911316
56,472,472,0.0046448,0.0046158667027026935,0.006229180437759785
14,252,252,0.00475534,0.0046001503913770956,0.03263480815733569
112,162,162,0.004638820000000001,0.004646855891891918,0.0017323137978876258
7,239,239,0.00458886,0.004646559871364222,0.01257390100465512
112,67,67,0.0047098,0.00466196039060491,0.01015746091024884
28,1174,1174,0.00468262,0.004679049459459456,0.0007625091381628727
3,778,778,0.004637260000000001,0.004685328153153154,0.010365636853045422
14,165,165,0.00477512,0.004674256151222651,0.021122788281205347
14,220,220,0.00451794,0.004632613715315314,0.025381858837282913
7,186,186,0.0052666,0.004618771894658943,0.12300689350644756
28,587,587,0.0045416399999999996,0.00460368218918919,0.013660745719429625
7,192,192,0.00465342,0.004561792009009027,0.01969046228171384
14,19,19,0.004609940000000001,0.004615468166666669,0.001199184081933521
28,245,245,0.00471122,0.004673807297297281,0.007941192027270958
28,2109,2109,0.004671239999999999,0.0046179812972973085,0.011401405772919137
14,205,205,0.0047112199999999995,0.004767824567567551,0.012014842772689696
14,239,239,0.00461136,0.004650890023294739,0.008572313437844547
56,50,50,0.004684360000000001,0.004662900080694961,0.004581184901467818
14,1018,1018,0.0047324199999999985,0.004703657567567569,0.006077742979792404
