feature0,feature1,feature2,feature3,feature4,feature5,feature6,True,Pred,Error
112,58,19,5,1,345.825536,0.027569,0.03339806,0.03250532169999997,0.026730244211790412
13,988,34,1,1,5.682794,0.033626,0.025872540000000003,0.02572406184999993,0.0057388315951998475
28,39,135,7,1,202.36608,0.25812,0.03401707999999999,0.03112613765,0.08498502369985877
112,72,190,1,1,173.98528,0.01387,0.0247425,0.024624899199999942,0.004752987774075304
28,177,15,1,1,2.09328,0.00267,0.02514332,0.02466152210000002,0.01916206372109888
3,125,467,3,1,4.732578,0.525842,0.034805560000000006,0.03250834839999992,0.06600128255370936
13,75,171,5,1,54.214524,0.320796,0.035162700000000005,0.03411196535000007,0.02988208101197955
13,167,211,3,1,53.631136,0.317344,0.035218799999999995,0.03432747265000002,0.025308282792144476
28,172,45,1,1,6.10344,0.007785,0.025539320000000004,0.025262738550000035,0.010829632503918243
56,26,92,1,1,7.789824,0.002484,0.024182400000000003,0.024859206849999996,0.02798757981010952
27,120,117,3,1,92.201733,0.126477,0.03287968,0.02924815660000007,0.11044886689894579
28,514,1010,1,1,407.7976,0.52015,0.025542219999999997,0.02586905034999987,0.012795690820918191
56,52,468,1,1,77.785344,0.024804,0.02439272,0.024542186800000025,0.0061275167345021565
8,41,39,1,1,0.104832,0.001638,0.024046459999999995,0.024383025699999998,0.013996475988565592
14,170,191,1,1,6.401556,0.032661,0.024607579999999997,0.025162872350000014,0.02256590652148718
56,177,29,5,1,402.518144,0.128354,0.033861880000000004,0.03233055195000004,0.04522277115151199
27,511,31,7,1,565.87896,0.77624,0.034474519999999995,0.03397872385000009,0.014381524383803114
27,113,27,3,2,5.0093235,0.027486,0.03428466000000001,0.03352087645000004,0.02227770524776871
27,69,471,5,1,592.637634,0.812946,0.031942139999999994,0.03198430620000004,0.0013200806207739216
7,50,207,1,1,0.517293,0.010557,0.02529559999999999,0.024532876350000024,0.030152423741677096
14,67,466,1,1,6.210848,0.031688,0.024565960000000008,0.02474146725000002,0.007144326946718632
56,154,491,1,1,238.66528,0.076105,0.025149639999999994,0.02501164780000001,0.005486845934971051
3,1012,253,1,1,2.306601,0.256289,0.025995660000000007,0.02542071164999997,0.022117089929628176
13,459,172,7,1,653.797456,3.868624,0.030552780000000012,0.033155356750000066,0.0851829768027673
27,777,6,1,1,3.402972,0.004668,0.025694759999999994,0.025965399499999986,0.010532867401757887
14,432,135,1,2,2.864295,0.058455,0.024500460000000005,0.025863933500000068,0.05565093471714663
7,738,100,5,2,22.602475,1.8451,0.03150055999999999,0.032731704900000005,0.039083270265671974
14,251,147,1,1,7.260624,0.037044,0.025013099999999996,0.025456750750000038,0.017736735950363673
14,245,239,1,2,2.880906,0.058794,0.023948,0.024653038050000076,0.029440372891267542
112,84,48,3,1,455.798784,0.036336,0.028399500000000005,0.02804830550000002,0.012366221236288841
27,499,194,3,2,158.821398,0.871448,0.034687779999999994,0.032748747949999935,0.055899571837692126
13,86,186,1,1,2.734758,0.016182,0.02537224,0.025025079399999987,0.013682694157079315
112,394,135,1,1,668.9088,0.053325,0.024636879999999993,0.025006096900000007,0.014986349732596587
14,541,54,1,1,5.736528,0.029268,0.02561088,0.025978012549999995,0.014335022849663741
13,926,59,1,1,9.243117,0.054693,0.025441240000000004,0.025846818899999954,0.015941789786973814
1,510,400,7,1,9.9964,9.9964,0.030934559999999996,0.029307549250000103,0.05259524460667596
7,533,178,1,1,4.657548,0.095052,0.02588074,0.02582828644999998,0.0020267407346165013
7,278,150,7,1,100.12905,2.04345,0.03434918,0.03338614089999994,0.028036742070700456
56,11,475,1,1,17.8752,0.0057,0.025322439999999995,0.024739055950000022,0.023038224199562616
56,52,1003,1,1,166.706624,0.053159,0.024727420000000007,0.02481344150000004,0.0034787899425024137
13,178,119,1,1,3.599869,0.021301,0.024540919999999997,0.024617608499999978,0.00312492359699558
3,19,205,1,2,0.009225,0.0041,0.02438429999999999,0.024828210199999933,0.018204754698717726
8,85,187,1,1,1.029248,0.016082,0.024795479999999998,0.02503240360000003,0.00955511246404717
14,188,60,1,1,2.22264,0.01134,0.025463399999999994,0.025060961700000006,0.0158045783359641
27,1261,112,1,1,103.039776,0.141344,0.02582538,0.02561709584999995,0.008065095266751162
112,90,49,3,1,498.486016,0.039739,0.03168994000000001,0.029593514700000014,0.06615428429337487
7,181,87,1,1,0.775866,0.015834,0.02446368,0.024561681499999953,0.004005999914974015
27,1248,496,1,1,451.618416,0.619504,0.02574662,0.02590784929999994,0.0062621540225451106
28,121,232,1,1,22.190336,0.028304,0.024825879999999995,0.02484142550000001,0.0006261812270105165
28,1201,55,5,2,323.68028,1.65143,0.03442649999999999,0.033903158850000004,0.015201694915253899
8,395,38,1,1,0.963072,0.015048,0.025610359999999995,0.024712080100000103,0.03507486423462585
27,206,134,1,1,20.221002,0.027738,0.02545149999999999,0.025380135099999993,0.0028039565448008566
56,202,18,5,1,285.118848,0.090918,0.03277051999999999,0.032720808699999965,0.0015169518213328848
13,196,493,3,1,147.054505,0.870145,0.03301292000000001,0.03313135119999999,0.0035874197132511757
56,54,64,1,1,11.03872,0.00352,0.026240839999999994,0.025074074300000065,0.0444637328683049
56,461,121,1,1,175.308672,0.055902,0.02577572000000001,0.025005362950000012,0.029886926533962823
13,1178,234,1,1,46.624734,0.275886,0.02546782,0.02605824159999995,0.02318304432809521
28,112,162,3,2,32.037768,0.163458,0.03553788000000001,0.033383908099999984,0.060610590727416015
56,10,13,7,1,20.017088,0.006383,0.02392164,0.025786404049999958,0.07795301868935227
14,257,167,7,1,412.226808,2.103198,0.03450894,0.03405489169999992,0.013157410804275033
13,33,191,7,1,52.227422,0.309038,0.034668080000000004,0.034260774150000096,0.011748728224923543
14,528,23,3,1,21.426524,0.109319,0.025434679999999998,0.026609035849999966,0.04617144190530285
56,228,314,1,1,225.497216,0.071906,0.025263899999999992,0.02488573269999994,0.014968682586617718
27,227,149,1,1,24.765588,0.033972,0.02581282000000001,0.025962199450000032,0.005787025594259806
14,864,54,1,1,9.15516,0.04671,0.025939719999999996,0.02594733354999998,0.00029350933626049635
27,88,60,1,1,3.89286,0.00534,0.024421680000000005,0.024446480949999936,0.0010155300536216722
13,79,479,5,2,39.989794,0.946504,0.03536652000000001,0.032262063600000154,0.08777952707814783
13,390,102,1,1,6.740058,0.039882,0.025984399999999998,0.025960486799999995,0.000920290635920132
13,536,157,1,1,14.248221,0.084309,0.026542819999999988,0.025981651149999983,0.021142020704657812
13,248,123,5,1,128.900187,0.762723,0.03400788,0.03388836594999999,0.003514304625869218
224,19,152,1,1,152.53504,0.00304,0.024433859999999995,0.024971346749999963,0.021997619287331953
28,172,215,1,1,29.16088,0.037195,0.024650759999999994,0.024968307350000007,0.012881848267559014
27,1289,112,1,1,105.32592,0.14448,0.02586904,0.025633547749999958,0.009103246583562508
14,993,36,3,1,63.066528,0.321768,0.025222040000000005,0.029497688949999885,0.1695203460941256
14,108,15,1,1,0.32046,0.001635,0.024366119999999995,0.02482680549999998,0.01890680584352309
8,127,152,5,2,7.724032,0.482752,0.03225197999999999,0.03449836705000006,0.06965113614730226
56,185,101,3,1,527.682176,0.168266,0.03195282000000001,0.030739391000000046,0.0379756465939457
28,54,466,1,1,20.09392,0.02563,0.02419704,0.024630591449999982,0.017917540740519603
13,257,46,3,1,17.989036,0.106444,0.03481639999999999,0.02785183084999998,0.20003702709068172
