model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_RFXT13.pt,7,13,13,5,1,0.016562,0.000338,0.01973338
dwconv-bn-relu_prior_OG097I.pt,7,35,35,3,1,0.01715,0.00035,0.019843519999999993
dwconv-bn-relu_prior_LEU13A.pt,7,35,35,3,1,0.01715,0.00035,0.0197042
dwconv-bn-relu_prior_IVDGVX.pt,7,55,55,5,2,0.0175175,0.00143,0.019855240000000003
dwconv-bn-relu_prior_OKJ42K.pt,7,36,36,3,1,0.01764,0.00036,0.019935480000000005
dwconv-bn-relu_prior_09PRTZ.pt,7,36,36,3,1,0.01764,0.00036,0.019605280000000006
dwconv-bn-relu_prior_PR9RSG.pt,7,36,36,3,1,0.01764,0.00036,0.0196348
dwconv-bn-relu_prior_NFU40Q.pt,7,36,36,3,1,0.01764,0.00036,0.019675440000000006
dwconv-bn-relu_prior_ZPPHZ6.pt,7,14,14,5,1,0.017836,0.000364,0.019770699999999995
dwconv-bn-relu_prior_V09YKF.pt,7,14,14,5,1,0.017836,0.000364,0.019840879999999995
dwconv-bn-relu_prior_ZOQI0S.pt,7,37,37,3,1,0.01813,0.00037,0.01976032
dwconv-bn-relu_prior_43Y3X1.pt,7,37,37,3,1,0.01813,0.00037,0.019827960000000002
dwconv-bn-relu_prior_8ANB5Y.pt,7,38,38,3,1,0.01862,0.00038,0.020027580000000003
dwconv-bn-relu_prior_2UDLFO.pt,7,153,153,3,2,0.0187425,0.00153,0.019764239999999995
dwconv-bn-relu_prior_F8U3OC.pt,7,15,15,5,1,0.01911,0.00039,0.02052848
dwconv-bn-relu_prior_CX8HMN.pt,7,39,39,3,1,0.01911,0.00039,0.02023726
dwconv-bn-relu_prior_FTPPSR.pt,14,15,15,5,2,0.01911,0.00039,0.02006738
dwconv-bn-relu_prior_UD50T5.pt,7,15,15,5,1,0.01911,0.00039,0.020086740000000002
dwconv-bn-relu_prior_CGD4YE.pt,7,61,61,5,2,0.0194285,0.001586,0.020167
dwconv-bn-relu_prior_LDKVTY.pt,7,40,40,3,1,0.0196,0.0004,0.019982579999999996
dwconv-bn-relu_prior_9T8AG3.pt,14,40,40,3,2,0.0196,0.0004,0.020493820000000006
dwconv-bn-relu_prior_48R4QZ.pt,7,40,40,3,1,0.0196,0.0004,0.01955874
dwconv-bn-relu_prior_LYVDDP.pt,7,40,40,3,1,0.0196,0.0004,0.019893899999999996
dwconv-bn-relu_prior_KGJT7R.pt,7,32,32,7,2,0.0196,0.0016,0.019783059999999995
dwconv-bn-relu_prior_JG1WYV.pt,7,161,161,3,2,0.0197225,0.00161,0.01972464
dwconv-bn-relu_prior_QL6ZV6.pt,7,62,62,5,2,0.019747,0.001612,0.019783900000000004
dwconv-bn-relu_prior_PCBT7B.pt,7,162,162,3,2,0.019845,0.00162,0.019682759999999997
dwconv-bn-relu_prior_BGDQHT.pt,7,162,162,3,2,0.019845,0.00162,0.01998124
dwconv-bn-relu_prior_3KPI3O.pt,7,41,41,3,1,0.02009,0.00041,0.019917459999999994
dwconv-bn-relu_prior_WMES8Z.pt,7,41,41,3,1,0.02009,0.00041,0.019741560000000002
dwconv-bn-relu_prior_7R0VM8.pt,7,16,16,5,1,0.020384,0.000416,0.01971712
dwconv-bn-relu_prior_3AWZK0.pt,7,42,42,3,1,0.02058,0.00042,0.01981042
dwconv-bn-relu_prior_VD0CBA.pt,7,42,42,3,1,0.02058,0.00042,0.019864820000000002
dwconv-bn-relu_prior_OQ37R1.pt,7,169,169,3,2,0.0207025,0.00169,0.019740979999999998
dwconv-bn-relu_prior_U8TTDD.pt,7,43,43,3,1,0.02107,0.00043,0.0196784
dwconv-bn-relu_prior_AW0O1F.pt,7,43,43,3,1,0.02107,0.00043,0.019639739999999996
dwconv-bn-relu_prior_T6OL5M.pt,14,11,11,3,1,0.02156,0.00011,0.01981592
dwconv-bn-relu_prior_7BQADN.pt,14,11,11,3,1,0.02156,0.00011,0.01966652
dwconv-bn-relu_prior_TJU5OP.pt,14,11,11,3,1,0.02156,0.00011,0.019956440000000002
dwconv-bn-relu_prior_FS2S9B.pt,7,44,44,3,1,0.02156,0.00044,0.019814840000000004
dwconv-bn-relu_prior_0XW4WY.pt,7,44,44,3,1,0.02156,0.00044,0.019796320000000003
dwconv-bn-relu_prior_USYFRX.pt,7,44,44,3,1,0.02156,0.00044,0.0197045
dwconv-bn-relu_prior_4A9NHT.pt,14,44,44,3,2,0.02156,0.00044,0.019451659999999996
dwconv-bn-relu_prior_IDG5TW.pt,7,68,68,5,2,0.021658,0.001768,0.019817460000000002
dwconv-bn-relu_prior_PQE2ND.pt,7,180,180,3,2,0.02205,0.0018,0.020015639999999998
dwconv-bn-relu_prior_2EANCH.pt,7,180,180,3,2,0.02205,0.0018,0.01981712
dwconv-bn-relu_prior_MVAIMK.pt,7,70,70,5,2,0.022295,0.00182,0.019730079999999997
dwconv-bn-relu_prior_AXUW4G.pt,7,46,46,3,1,0.02254,0.00046,0.019722259999999995
dwconv-bn-relu_prior_H8RGHT.pt,14,46,46,3,2,0.02254,0.00046,0.01984508
dwconv-bn-relu_prior_SCODUW.pt,7,46,46,3,1,0.02254,0.00046,0.019737039999999997
dwconv-bn-relu_prior_I371G4.pt,7,46,46,3,1,0.02254,0.00046,0.019825460000000003
dwconv-bn-relu_prior_P4AUPB.pt,7,46,46,3,1,0.02254,0.00046,0.019463920000000006
dwconv-bn-relu_prior_YAS5X6.pt,7,18,18,5,1,0.022932,0.000468,0.01977122
